CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Month_with_bank,No_of_product,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Count,Avg_Utilization_Ratio
713962233,Existing Customer,55,F,3,Graduate,Married,Less than 40,Blue,36,6,2,3035.0,2298,1877,37,0.757
785432733,Existing Customer,42,F,4,High School,Married,Less than 40,Gold,36,2,3,15433.0,0,966,22,0.0
827111283,Existing Customer,45,M,3,Graduate,Single,80 - 120,Blue,41,2,2,32426.0,578,1109,28,0.018
773146383,Existing Customer,50,F,1,College,Single,40 - 60,Silver,43,3,2,17304.0,2517,1756,33,0.145
778493808,Existing Customer,49,M,3,High School,Married,60 - 80,Blue,37,5,2,3906.0,0,1756,32,0.0
712661433,Existing Customer,49,M,4,Uneducated,Single,80 - 120,Blue,30,3,2,34516.0,0,1444,28,0.0
789172683,Existing Customer,56,M,2,Doctorate,Married,60 - 80,Blue,45,6,2,2283.0,1430,1741,27,0.626
738406533,Existing Customer,59,M,1,Doctorate,Married,40 - 60,Blue,52,3,2,2548.0,2020,1719,27,0.793
799723908,Existing Customer,46,M,3,High School,Married,80 - 120,Blue,40,4,3,19458.0,1435,1217,27,0.074
771490833,Existing Customer,52,M,1,College,Single,80 - 120,Blue,40,5,1,4745.0,1227,1140,40,0.259
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than 40,Blue,40,2,3,1438.3,808,705,19,0.562
711525033,Existing Customer,66,F,0,High School,Married,Less than 40,Blue,54,3,4,3171.0,2179,1946,38,0.687
714374133,Attrited Customer,56,M,2,Graduate,Married,120 +,Blue,36,1,3,15769.0,0,602,15,0.0
716632758,Existing Customer,49,F,3,Graduate,Single,Less than 40,Blue,36,2,2,2802.0,2363,1295,40,0.843
768563658,Existing Customer,56,M,2,Uneducated,Married,40 - 60,Blue,50,4,2,4458.0,1880,1424,29,0.422
714091983,Existing Customer,42,M,2,High School,Single,60 - 80,Blue,34,4,4,3336.0,1753,1168,27,0.525
712030833,Attrited Customer,48,M,2,Graduate,Married,60 - 80,Silver,35,2,4,34516.0,0,691,15,0.0
711481533,Existing Customer,39,M,1,High School,Divorced,60 - 80,Blue,33,5,3,5926.0,1251,1316,28,0.211
710082708,Existing Customer,44,M,4,Post-Graduate,Single,120 +,Blue,32,2,4,23957.0,2102,1276,26,0.088
708155733,Existing Customer,53,M,2,High School,Single,120 +,Blue,44,4,2,14734.0,1634,1289,23,0.111
788979258,Existing Customer,51,M,4,Uneducated,Single,80 - 120,Silver,38,4,1,34516.0,1515,1293,32,0.044
807986133,Existing Customer,57,M,2,College,Married,60 - 80,Blue,52,5,3,6584.0,1817,1353,35,0.276
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than 40,Blue,20,6,3,2084.0,1468,1132,28,0.704
711314058,Existing Customer,49,M,2,Graduate,Married,60 - 80,Blue,32,2,2,1687.0,1107,1670,17,0.656
717975333,Existing Customer,50,M,2,Doctorate,Married,80 - 120,Blue,38,6,2,25300.0,1330,837,15,0.053
715971108,Existing Customer,51,M,4,Graduate,Single,120 +,Blue,42,3,2,34516.0,1763,1550,41,0.051
720096558,Existing Customer,55,F,2,Graduate,Married,Less than 40,Blue,42,5,3,2216.0,1034,1540,36,0.467
820582308,Existing Customer,42,M,5,Uneducated,Married,80 - 120,Blue,37,6,2,22913.0,1528,1394,35,0.067
789973308,Existing Customer,44,M,1,College,Single,60 - 80,Blue,35,3,3,24312.0,1932,1341,24,0.079
712876233,Existing Customer,53,M,2,Graduate,Single,80 - 120,Blue,36,5,3,5272.0,1515,1289,33,0.287
804595158,Existing Customer,44,F,4,Graduate,Single,Less than 40,Blue,36,6,4,7000.0,2517,1112,23,0.36
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than 40,Blue,29,4,4,7038.0,1801,2339,57,0.256
779058108,Existing Customer,49,M,3,Graduate,Divorced,60 - 80,Blue,30,6,1,2536.0,1823,1468,23,0.719
710790258,Existing Customer,47,M,2,Graduate,Married,80 - 120,Blue,38,6,3,28904.0,1899,1334,35,0.066
715623483,Existing Customer,47,M,3,Graduate,Married,60 - 80,Blue,37,4,4,8567.0,1695,1457,41,0.198
794543958,Existing Customer,53,M,1,Graduate,Divorced,80 - 120,Blue,35,5,4,34516.0,1219,1590,27,0.035
716396358,Existing Customer,52,M,2,Graduate,Married,60 - 80,Blue,47,5,3,3085.0,1910,1531,35,0.619
715398033,Existing Customer,53,M,2,High School,Single,120 +,Blue,35,4,2,19040.0,2056,1212,31,0.108
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than 40,Blue,35,5,2,4026.0,0,1237,32,0.0
719720058,Existing Customer,44,M,3,High School,Single,60 - 80,Blue,31,4,3,12756.0,837,1413,14,0.066
717539808,Existing Customer,51,F,2,High School,Single,Less than 40,Blue,36,3,2,9930.0,0,1276,21,0.0
714070758,Existing Customer,49,M,4,High School,Single,80 - 120,Blue,38,4,3,31302.0,1953,1564,35,0.062
714107958,Existing Customer,45,M,1,Graduate,Single,40 - 60,Blue,36,4,4,6576.0,0,1465,34,0.0
789140283,Existing Customer,53,M,0,Graduate,Single,80 - 120,Blue,42,5,4,2664.0,2037,1286,29,0.765
719712633,Existing Customer,64,M,1,Graduate,Married,Less than 40,Blue,52,6,4,1709.0,895,1673,32,0.524
772629333,Existing Customer,45,M,3,Graduate,Married,40 - 60,Blue,35,5,4,3454.0,1200,1313,30,0.347
720336708,Existing Customer,53,M,3,Doctorate,Married,40 - 60,Blue,35,5,3,3789.0,1706,1609,42,0.45
802013583,Existing Customer,56,M,3,College,Married,120 +,Blue,50,3,2,9689.0,2250,1158,19,0.232
779155158,Existing Customer,53,M,3,Graduate,Married,120 +,Blue,34,6,2,2940.0,1264,1259,33,0.43
721091583,Existing Customer,44,F,2,Graduate,Single,Less than 40,Blue,32,3,3,3031.0,1879,1298,15,0.62
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than 40,Blue,33,2,3,8358.0,926,1566,37,0.111
779509983,Existing Customer,53,M,2,Post-Graduate,Single,120 +,Blue,36,6,1,34516.0,931,1022,21,0.027
717929133,Existing Customer,44,M,1,Uneducated,Married,60 - 80,Blue,36,5,2,14450.0,2440,1235,30,0.169
710916408,Existing Customer,57,M,4,Graduate,Married,60 - 80,Blue,39,4,3,8466.0,1886,1342,32,0.223
799825758,Existing Customer,42,M,4,High School,Divorced,60 - 80,Blue,36,5,1,3263.0,1674,1251,35,0.513
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than 40,Blue,36,2,2,1494.0,706,1305,24,0.473
711844758,Existing Customer,48,M,3,Graduate,Single,80 - 120,Blue,35,6,1,13551.0,1294,1388,37,0.095
714798783,Existing Customer,49,M,1,Graduate,Single,80 - 120,Blue,36,6,2,18886.0,895,1235,18,0.047
771894558,Existing Customer,50,M,3,High School,Single,80 - 120,Blue,39,4,1,9964.0,1559,1626,25,0.156
721074183,Existing Customer,49,M,1,Doctorate,Married,60 - 80,Blue,36,4,6,24159.0,1196,1111,24,0.05
715259583,Existing Customer,53,F,2,High School,Married,Less than 40,Blue,44,3,2,5362.0,1901,1553,38,0.355
718414008,Existing Customer,50,M,2,Graduate,Single,120 +,Blue,36,3,2,34516.0,1023,1064,13,0.03
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than 40,Blue,36,4,1,3174.0,1951,1243,29,0.615
714877233,Existing Customer,53,M,1,High School,Married,80 - 120,Blue,47,3,2,12262.0,1836,1659,38,0.15
785387883,Existing Customer,47,F,3,High School,Single,40 - 60,Blue,41,4,3,3788.0,1540,1594,47,0.407
771075258,Existing Customer,55,M,2,College,Single,120 +,Silver,42,2,3,34516.0,1527,1268,42,0.044
711318033,Existing Customer,47,M,3,Graduate,Single,60 - 80,Blue,36,4,2,2926.0,0,1304,24,0.0
783554958,Existing Customer,58,M,4,Graduate,Single,120 +,Blue,52,6,1,32090.0,0,1368,30,0.0
720201033,Attrited Customer,53,M,2,Graduate,Married,80 - 120,Blue,41,3,3,11669.0,2227,720,23,0.191
718039683,Existing Customer,52,M,2,High School,Single,40 - 60,Blue,45,3,1,13532.0,1300,1521,29,0.096
714752208,Existing Customer,42,F,1,Graduate,Married,Less than 40,Blue,36,5,1,2393.0,1985,978,16,0.83
714490308,Existing Customer,57,M,4,Graduate,Married,80 - 120,Blue,46,3,2,19270.0,1662,1565,28,0.086
713356833,Existing Customer,52,M,1,Graduate,Married,80 - 120,Blue,43,3,1,3710.0,2517,1578,34,0.678
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than 40,Blue,37,2,1,3235.0,797,1493,32,0.246
708296883,Existing Customer,44,F,3,Graduate,Single,40 - 60,Blue,38,3,1,11749.0,788,1178,27,0.067
719154483,Existing Customer,53,M,2,High School,Divorced,60 - 80,Blue,36,5,3,7753.0,2100,991,26,0.271
717721458,Existing Customer,45,M,4,College,Divorced,60 - 80,Blue,40,5,1,10408.0,1186,2560,42,0.114
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than 40,Blue,27,4,2,6205.0,2517,1204,19,0.406
789322833,Attrited Customer,48,F,5,High School,Married,Less than 40,Blue,38,1,3,8025.0,0,673,18,0.0
709919283,Existing Customer,54,M,4,Graduate,Married,80 - 120,Blue,34,2,3,14926.0,2517,1576,25,0.169
718744008,Existing Customer,59,F,1,Graduate,Single,Less than 40,Blue,36,3,2,6335.0,1128,1217,20,0.178
767712558,Attrited Customer,59,M,1,College,Single,60 - 80,Blue,53,2,3,14979.0,0,530,10,0.0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than 40,Blue,38,3,2,2732.0,0,739,16,0.0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than 40,Blue,32,6,3,2250.0,2117,1617,31,0.941
818839983,Existing Customer,55,M,2,Graduate,Married,120 +,Blue,50,3,2,10916.0,1536,1592,34,0.141
712350858,Existing Customer,41,M,2,High School,Married,80 - 120,Blue,24,4,1,9366.0,1104,1303,39,0.118
711009708,Existing Customer,40,M,3,High School,Single,80 - 120,Blue,28,5,1,21617.0,0,1351,22,0.0
712215258,Existing Customer,50,F,1,Graduate,Single,40 - 60,Silver,31,2,2,18386.0,0,1298,22,0.0
773827008,Existing Customer,47,M,4,Uneducated,Single,60 - 80,Blue,41,6,2,2405.0,1540,1087,29,0.64
795232683,Existing Customer,53,F,1,College,Married,Less than 40,Blue,47,4,2,2154.0,930,1439,26,0.432
713539833,Existing Customer,48,F,4,High School,Single,40 - 60,Blue,38,6,1,8135.0,0,1716,29,0.0
712454058,Existing Customer,49,M,1,Doctorate,Married,120 +,Blue,38,6,1,9364.0,618,1099,27,0.066
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than 40,Blue,34,2,3,3195.0,1954,1285,29,0.612
720253908,Existing Customer,56,M,0,High School,Married,80 - 120,Blue,43,5,2,2852.0,1024,1651,28,0.359
713187033,Existing Customer,46,M,1,Uneducated,Married,60 - 80,Blue,36,3,2,20459.0,2071,1767,38,0.101
772426383,Existing Customer,50,F,4,Uneducated,Married,40 - 60,Blue,40,5,2,3065.0,1570,1130,28,0.512
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than 40,Blue,43,3,1,2185.0,1761,1645,30,0.806
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than 40,Blue,36,4,1,1611.0,746,1413,29,0.463
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than 40,Blue,47,3,3,2822.0,2173,1218,23,0.77
713741358,Attrited Customer,46,M,5,Graduate,Single,80 - 120,Blue,33,6,3,32975.0,2517,597,17,0.076
709531908,Existing Customer,53,M,3,High School,Married,60 - 80,Blue,47,5,2,1438.3,0,2184,53,0.0
714141108,Existing Customer,52,F,1,High School,Married,Less than 40,Blue,45,6,3,6703.0,893,1388,28,0.133
712608783,Existing Customer,50,M,2,High School,Married,80 - 120,Silver,45,3,1,34516.0,1260,1504,34,0.037
820353558,Existing Customer,41,F,3,High School,Married,40 - 60,Blue,36,4,1,9797.0,1434,1503,34,0.146
714964758,Existing Customer,45,F,5,Graduate,Divorced,40 - 60,Blue,36,5,2,10400.0,1777,1105,28,0.171
716264358,Existing Customer,53,M,3,Uneducated,Married,80 - 120,Blue,42,2,1,26792.0,1836,2398,47,0.069
717296808,Existing Customer,67,F,1,Graduate,Married,Less than 40,Blue,56,4,3,3006.0,2517,1661,32,0.837
712977183,Existing Customer,57,F,2,Uneducated,Single,40 - 60,Silver,36,6,3,19482.0,1072,1421,22,0.055
710829108,Existing Customer,59,F,1,Uneducated,Married,40 - 60,Blue,36,4,2,3356.0,985,999,28,0.294
779562633,Existing Customer,45,M,2,Uneducated,Married,40 - 60,Blue,34,3,2,5771.0,2248,1387,18,0.39
715315833,Existing Customer,51,M,3,Graduate,Married,80 - 120,Blue,36,6,2,11106.0,2107,1243,24,0.19
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than 40,Blue,54,5,3,2890.0,2001,1860,36,0.692
719360583,Existing Customer,53,M,1,Graduate,Married,60 - 80,Blue,45,6,2,3380.0,1701,1502,25,0.503
709701558,Existing Customer,47,M,3,Graduate,Married,60 - 80,Blue,36,2,1,21331.0,1251,1460,50,0.059
779862408,Existing Customer,49,M,3,Post-Graduate,Single,80 - 120,Blue,33,3,1,6278.0,462,1087,33,0.074
812627208,Existing Customer,60,F,0,College,Single,Less than 40,Blue,55,5,1,1438.3,738,1226,33,0.513
711033408,Existing Customer,50,F,2,High School,Married,Less than 40,Blue,36,5,1,9355.0,1626,1230,28,0.174
780376683,Existing Customer,57,M,1,Graduate,Married,80 - 120,Blue,47,5,3,14612.0,1976,1827,24,0.135
714454758,Existing Customer,57,F,3,Graduate,Married,Less than 40,Blue,47,4,2,6347.0,1594,1771,37,0.251
780466533,Existing Customer,54,M,3,Doctorate,Married,120 +,Blue,41,3,3,21592.0,1676,1873,52,0.078
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than 40,Blue,44,5,1,3449.0,1598,1679,42,0.463
720476733,Existing Customer,47,F,3,High School,Married,Less than 40,Blue,34,2,1,6028.0,799,1002,22,0.133
712375758,Existing Customer,53,M,3,Uneducated,Married,80 - 120,Blue,43,3,3,16393.0,1423,1461,42,0.087
708868233,Attrited Customer,68,M,0,High School,Married,Less than 40,Blue,52,1,3,1438.3,900,760,21,0.626
718030083,Existing Customer,59,M,1,College,Married,60 - 80,Blue,36,4,1,7871.0,1687,1428,22,0.214
771698658,Existing Customer,44,M,5,Graduate,Married,60 - 80,Blue,32,4,5,11376.0,2006,1302,27,0.176
748326258,Existing Customer,48,M,3,College,Married,80 - 120,Blue,41,4,5,12302.0,1632,1483,41,0.133
770817783,Existing Customer,47,M,4,Graduate,Married,60 - 80,Silver,33,3,2,34516.0,1679,1060,27,0.049
779353083,Existing Customer,47,M,2,Graduate,Married,60 - 80,Silver,32,4,2,34516.0,1468,1330,32,0.043
711441333,Existing Customer,43,F,1,High School,Divorced,Less than 40,Silver,35,3,2,10514.0,1580,1229,27,0.15
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than 40,Blue,43,2,4,1438.3,0,886,27,0.0
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,60 - 80,Blue,46,3,3,1438.3,0,844,24,0.0
809164083,Existing Customer,63,M,1,Graduate,Married,40 - 60,Blue,56,2,1,2619.0,1779,1450,37,0.679
820596183,Existing Customer,58,M,2,College,Married,120 +,Blue,53,2,3,24407.0,2395,2311,48,0.098
715999608,Existing Customer,53,F,2,High School,Married,Less than 40,Blue,36,4,1,2377.0,1649,1378,26,0.694
805543158,Existing Customer,52,M,3,Graduate,Married,120 +,Blue,47,5,3,11086.0,2207,1523,40,0.199
709752183,Existing Customer,48,M,3,High School,Single,60 - 80,Blue,36,4,2,11432.0,2517,1374,37,0.22
716479233,Existing Customer,43,M,4,High School,Married,40 - 60,Blue,36,5,3,13258.0,1721,1080,21,0.13
713837058,Existing Customer,48,M,2,College,Single,Less than 40,Blue,36,3,2,2571.0,1955,1234,24,0.76
718876683,Existing Customer,43,F,4,Graduate,Single,Less than 40,Blue,31,5,2,5781.0,1168,1600,32,0.202
794843883,Existing Customer,41,M,3,High School,Married,80 - 120,Blue,35,6,1,34516.0,1202,1353,33,0.035
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than 40,Silver,38,4,1,11127.0,1835,1546,25,0.165
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than 40,Blue,36,5,1,1913.0,1272,1448,22,0.665
778425408,Existing Customer,44,M,4,Graduate,Single,80 - 120,Blue,24,5,3,3839.0,2295,1271,24,0.598
714171108,Existing Customer,48,F,3,Graduate,Divorced,40 - 60,Blue,39,6,2,2115.0,1141,1223,20,0.539
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than 40,Blue,27,5,2,1438.3,679,1117,29,0.472
713137233,Existing Customer,41,M,2,High School,Single,80 - 120,Blue,28,4,3,27756.0,1789,994,24,0.064
769425858,Existing Customer,45,M,3,College,Single,60 - 80,Blue,32,4,1,1438.3,0,1468,26,0.0
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than 40,Silver,34,6,4,13878.0,2222,1658,38,0.16
788900883,Existing Customer,51,F,2,Graduate,Married,Less than 40,Blue,36,3,1,3106.0,1304,1368,38,0.42
758348808,Existing Customer,51,M,2,Graduate,Married,120 +,Blue,44,4,3,34516.0,1666,1218,18,0.048
772336458,Attrited Customer,60,F,1,Uneducated,Married,40 - 60,Blue,50,4,4,1438.3,1025,702,12,0.713
717906783,Existing Customer,41,M,5,Graduate,Single,120 +,Blue,29,5,2,5207.0,1748,1310,26,0.336
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,80 - 120,Blue,36,6,2,17965.0,1644,1767,50,0.092
769433508,Existing Customer,43,M,1,College,Single,60 - 80,Blue,37,6,3,2733.0,1819,933,25,0.666
790096533,Existing Customer,55,M,2,College,Married,60 - 80,Blue,48,4,3,8863.0,1301,1512,27,0.147
720997383,Attrited Customer,52,M,1,Uneducated,Married,80 - 120,Blue,36,2,3,1857.0,1833,829,17,0.987
709930758,Existing Customer,41,M,2,Uneducated,Married,40 - 60,Blue,30,5,3,11107.0,1222,1506,33,0.11
710741208,Existing Customer,39,M,2,High School,Single,80 - 120,Blue,36,4,2,5269.0,1475,2094,25,0.28
821797008,Attrited Customer,49,M,5,College,Married,40 - 60,Blue,45,2,2,1438.3,0,815,21,0.0
708874533,Attrited Customer,45,F,2,College,Married,Less than 40,Blue,36,1,3,3387.0,0,510,24,0.0
715341858,Existing Customer,54,M,2,Graduate,Married,80 - 120,Blue,46,6,2,1982.0,1289,1377,49,0.65
793636308,Existing Customer,49,M,3,Uneducated,Single,80 - 120,Blue,43,2,2,4645.0,1650,1193,33,0.355
712125258,Attrited Customer,46,M,4,High School,Married,120 +,Blue,30,3,3,2442.0,0,701,19,0.0
709703433,Existing Customer,47,M,3,Graduate,Married,60 - 80,Blue,38,4,1,21304.0,1532,1770,25,0.072
721022433,Existing Customer,44,M,2,Doctorate,Single,60 - 80,Blue,36,5,1,7577.0,2480,1409,35,0.327
710103558,Existing Customer,50,M,3,Post-Graduate,Single,120 +,Blue,31,4,1,3234.0,1486,1354,28,0.459
715952883,Existing Customer,73,M,0,High School,Married,40 - 60,Blue,36,5,3,4469.0,1125,1765,34,0.252
772390908,Attrited Customer,59,M,0,High School,Single,40 - 60,Blue,48,2,4,3616.0,1054,687,17,0.291
787348608,Existing Customer,70,M,0,High School,Married,Less than 40,Blue,56,3,2,3252.0,1495,1227,15,0.46
709485033,Existing Customer,55,F,2,High School,Married,Less than 40,Blue,36,4,3,2358.0,1152,1737,26,0.489
799471833,Existing Customer,45,M,1,Uneducated,Single,120 +,Blue,39,4,2,3133.0,1510,1435,38,0.482
714187533,Existing Customer,45,F,2,Uneducated,Single,40 - 60,Blue,35,2,3,3540.0,849,1321,28,0.24
779656908,Existing Customer,40,M,1,Graduate,Married,40 - 60,Blue,23,6,3,6990.0,1378,1479,29,0.197
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,40 - 60,Blue,40,1,4,1438.3,0,689,23,0.0
789483333,Existing Customer,41,M,2,Uneducated,Married,40 - 60,Blue,32,5,1,5214.0,795,1258,23,0.152
809855808,Existing Customer,51,F,2,Graduate,Married,Less than 40,Blue,46,5,2,5207.0,1650,1339,20,0.317
771809733,Attrited Customer,64,F,0,High School,Married,40 - 60,Blue,53,1,3,3353.0,0,960,18,0.0
719942883,Existing Customer,54,M,5,Graduate,Married,60 - 80,Blue,38,3,3,2290.0,1434,1119,18,0.626
717806133,Existing Customer,40,M,2,Uneducated,Divorced,60 - 80,Blue,29,5,3,23603.0,0,1382,31,0.0
720615708,Existing Customer,57,M,0,Uneducated,Married,40 - 60,Blue,45,6,2,2601.0,0,1232,32,0.0
714511758,Existing Customer,45,M,4,Graduate,Single,80 - 120,Blue,40,4,3,6363.0,1029,1542,16,0.162
715050408,Existing Customer,41,M,3,High School,Single,80 - 120,Blue,36,4,3,8029.0,1576,1094,32,0.196
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than 40,Blue,31,2,2,2410.0,1769,1217,30,0.734
719211558,Attrited Customer,45,M,2,Graduate,Single,60 - 80,Blue,36,1,1,3401.0,0,744,18,0.0
712069008,Existing Customer,42,F,4,Uneducated,Married,Less than 40,Blue,23,4,2,2260.0,1007,1614,33,0.446
715996983,Existing Customer,47,M,4,Uneducated,Divorced,80 - 120,Blue,30,5,2,17682.0,2481,1747,31,0.14
773466258,Existing Customer,48,F,4,High School,Married,40 - 60,Blue,42,3,1,4206.0,1100,1144,22,0.262
798983508,Existing Customer,43,M,1,Graduate,Single,80 - 120,Silver,37,4,3,34516.0,1440,1575,34,0.042
716451183,Existing Customer,54,F,1,Uneducated,Married,40 - 60,Blue,44,5,2,5556.0,1711,1706,21,0.308
715085733,Existing Customer,61,M,0,Graduate,Married,40 - 60,Blue,52,3,1,2939.0,1999,2434,33,0.68
788977833,Existing Customer,61,M,0,Uneducated,Married,80 - 120,Blue,48,2,1,5362.0,1274,1876,41,0.238
720272958,Attrited Customer,48,M,2,High School,Married,120 +,Blue,36,3,3,27126.0,0,1000,25,0.0
708421833,Existing Customer,45,F,4,Graduate,Single,Less than 40,Blue,36,6,3,3342.0,2517,1139,30,0.753
715120608,Existing Customer,44,M,3,Graduate,Single,60 - 80,Blue,37,2,3,14546.0,1703,1273,27,0.117
779078733,Existing Customer,55,M,2,Doctorate,Married,60 - 80,Blue,36,3,4,16427.0,1682,1579,36,0.102
720250158,Existing Customer,45,M,2,College,Single,60 - 80,Blue,33,6,3,23218.0,1814,1749,37,0.078
716458983,Existing Customer,60,M,0,High School,Married,40 - 60,Blue,36,5,1,3281.0,837,1424,29,0.255
713747733,Existing Customer,55,M,2,High School,Married,40 - 60,Blue,47,5,3,3096.0,2217,2011,41,0.716
712270158,Existing Customer,62,F,0,High School,Married,40 - 60,Blue,52,5,2,2052.0,1250,1208,31,0.609
754897008,Existing Customer,46,M,3,High School,Single,40 - 60,Blue,39,2,3,9432.0,1418,1319,26,0.15
819700533,Existing Customer,50,M,0,High School,Single,120 +,Silver,45,5,2,14938.0,2303,949,27,0.154
712890408,Existing Customer,45,M,2,Uneducated,Married,60 - 80,Blue,36,5,3,2221.0,1343,1338,30,0.605
720248208,Existing Customer,47,M,3,Post-Graduate,Divorced,60 - 80,Blue,37,6,3,5731.0,1577,1554,26,0.275
779749908,Existing Customer,48,M,4,College,Married,60 - 80,Gold,33,2,2,34516.0,2061,1350,32,0.06
717401883,Existing Customer,35,M,3,Uneducated,Married,60 - 80,Blue,22,5,2,6985.0,1130,1694,44,0.162
721509558,Existing Customer,51,M,2,Graduate,Married,120 +,Blue,42,3,3,24221.0,1707,1678,40,0.07
714576183,Existing Customer,47,M,4,Graduate,Single,80 - 120,Blue,36,6,3,21637.0,2030,1222,23,0.094
721425558,Existing Customer,52,M,2,Graduate,Single,120 +,Blue,37,2,3,14543.0,0,1536,37,0.0
711109908,Existing Customer,43,F,4,Uneducated,Married,Less than 40,Blue,36,2,1,9684.0,2475,1400,31,0.256
715203108,Existing Customer,63,M,2,High School,Married,40 - 60,Blue,36,2,2,5007.0,930,1050,28,0.186
710027508,Existing Customer,61,M,0,Graduate,Married,60 - 80,Blue,54,3,2,1616.0,1047,1389,33,0.648
787464408,Existing Customer,53,M,2,Uneducated,Single,60 - 80,Blue,40,5,2,19116.0,0,1184,29,0.0
783542133,Existing Customer,53,F,3,Graduate,Married,Less than 40,Blue,47,5,6,2759.0,2223,2093,42,0.806
708330858,Attrited Customer,57,M,3,Graduate,Married,120 +,Blue,38,2,3,8249.0,1381,678,11,0.167
712701333,Existing Customer,53,M,3,High School,Married,60 - 80,Blue,43,5,3,5264.0,2169,1219,27,0.412
773373108,Existing Customer,49,F,4,High School,Married,Less than 40,Blue,43,4,2,2826.0,2070,1025,28,0.732
715812258,Existing Customer,45,M,2,High School,Married,80 - 120,Blue,34,5,5,12518.0,1539,1165,33,0.123
