CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Month_with_bank,No_of_product,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Count,Avg_Utilization_Ratio,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod,Savings,Duration_of_Contact,Num_of_Contacts_Made,Last_Contacted,Outcome,Loyalty,Financial_Status,Segment,Digital_Capability
778493808,Existing Customer,49,M,3,High School,Married,60 - 80,Blue,37,5,2,3906.0,0,1756,32,0.0,668.4580421729421,16210.87733208983,162114.96567089576,0,0,0,1,1,511865.47,347,1,-1,0,3,7,2,True
712661433,Existing Customer,49,M,4,Uneducated,Single,80 - 120,Blue,30,3,2,34516.0,0,1444,28,0.0,896.5552180194168,42201.98794326947,239099.90822800365,1,0,0,1,1,117571.05,162,3,-1,0,2,8,4,True
789172683,Existing Customer,56,M,2,Doctorate,Married,60 - 80,Blue,45,6,2,2283.0,1430,1741,27,0.626,614.7770900660485,3987.541604385002,30804.69362099198,1,1,2,0,1,157172.97,358,2,83,0,3,6,2,True
738406533,Existing Customer,59,M,1,Doctorate,Married,40 - 60,Blue,52,3,2,2548.0,2020,1719,27,0.793,396.7017629856728,7081.0514000776275,131908.60468749673,1,0,1,1,2,573203.69,225,1,-1,1,2,5,2,True
799723908,Existing Customer,46,M,3,High School,Married,80 - 120,Blue,40,4,3,19458.0,1435,1217,27,0.074,320.0281604362402,32236.41130144731,131321.45339586504,1,2,2,0,1,1197253.22,164,1,-1,0,2,5,2,True
771490833,Existing Customer,52,M,1,College,Single,80 - 120,Blue,40,5,1,4745.0,1227,1140,40,0.259,384.46322635284616,43917.09853913869,-65008.5888746994,1,1,1,0,2,547707.9,179,3,-1,0,3,2,1,True
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than 40,Blue,40,2,3,1438.3,808,705,19,0.562,766.2314483573332,41617.17035109621,158154.74790930722,1,1,1,1,2,134975.27,324,2,-1,1,1,5,2,True
711525033,Existing Customer,66,F,0,High School,Married,Less than 40,Blue,54,3,4,3171.0,2179,1946,38,0.687,513.4179599029449,22310.85249843386,116355.2295124386,1,1,1,1,0,0.0,72,4,-1,1,3,4,2,True
714374133,Attrited Customer,56,M,2,Graduate,Married,120 +,Blue,36,1,3,15769.0,0,602,15,0.0,539.862622711715,12825.259156286593,261540.03876089497,1,2,0,0,2,1804235.11,610,4,-1,0,1,10,4,False
716632758,Existing Customer,49,F,3,Graduate,Single,Less than 40,Blue,36,2,2,2802.0,2363,1295,40,0.843,533.7411349045497,31238.915524276075,145587.69174754983,1,0,1,1,2,73229.19,205,1,-1,0,1,4,2,True
768563658,Existing Customer,56,M,2,Uneducated,Married,40 - 60,Blue,50,4,2,4458.0,1880,1424,29,0.422,489.45740372244904,48962.27795409478,212910.38505575224,1,1,0,0,3,0.0,322,2,-1,0,2,4,2,False
714091983,Existing Customer,42,M,2,High School,Single,60 - 80,Blue,34,4,4,3336.0,1753,1168,27,0.525,624.5586275307957,18623.356279256892,9182.91234129187,1,1,2,0,3,308826.45,105,1,-1,1,2,5,2,True
712030833,Attrited Customer,48,M,2,Graduate,Married,60 - 80,Silver,35,2,4,34516.0,0,691,15,0.0,597.9601154875469,27236.222922668996,209101.77492701015,1,2,1,0,0,255126.83,106,2,184,0,1,7,2,True
711481533,Existing Customer,39,M,1,High School,Divorced,60 - 80,Blue,33,5,3,5926.0,1251,1316,28,0.211,510.8053471508399,28594.055815143365,70488.92808596426,1,0,0,1,2,528285.65,151,1,260,0,3,4,2,True
710082708,Existing Customer,44,M,4,Post-Graduate,Single,120 +,Blue,32,2,4,23957.0,2102,1276,26,0.088,359.67385388344013,-2062.9292500784723,46348.454999827896,1,2,2,1,1,314200.27,358,4,-1,0,1,6,2,True
708155733,Existing Customer,53,M,2,High School,Single,120 +,Blue,44,4,2,14734.0,1634,1289,23,0.111,759.9875866636963,23906.18284538956,155198.49300089222,1,2,0,0,3,161453.58,251,1,-1,0,2,10,4,False
788979258,Existing Customer,51,M,4,Uneducated,Single,80 - 120,Silver,38,4,1,34516.0,1515,1293,32,0.044,520.2651469314025,22607.673991203632,53906.96167280579,0,0,1,0,2,533656.82,351,5,-1,0,2,5,2,False
807986133,Existing Customer,57,M,2,College,Married,60 - 80,Blue,52,5,3,6584.0,1817,1353,35,0.276,1012.3383510798436,34715.407011338815,91721.22504721684,0,2,2,1,2,0.0,258,2,358,0,3,6,2,True
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than 40,Blue,20,6,3,2084.0,1468,1132,28,0.704,668.2256644850567,33198.984440273205,3618.470893585909,1,1,0,0,2,56370.56,95,2,-1,0,3,3,1,True
711314058,Existing Customer,49,M,2,Graduate,Married,60 - 80,Blue,32,2,2,1687.0,1107,1670,17,0.656,705.591112278308,40798.15048499983,63208.984637604066,1,2,1,1,0,587901.53,102,3,-1,1,1,3,1,True
717975333,Existing Customer,50,M,2,Doctorate,Married,80 - 120,Blue,38,6,2,25300.0,1330,837,15,0.053,537.9298979904738,32885.92510862934,2572.3413698157965,1,2,2,0,1,0.0,44,2,-1,0,3,4,2,True
715971108,Existing Customer,51,M,4,Graduate,Single,120 +,Blue,42,3,2,34516.0,1763,1550,41,0.051,492.75037386296657,37916.61561478067,74136.98003453096,1,1,1,1,0,747480.1,9,1,-1,0,3,5,2,True
720096558,Existing Customer,55,F,2,Graduate,Married,Less than 40,Blue,42,5,3,2216.0,1034,1540,36,0.467,698.6634027445036,26885.15386086873,71502.79723018986,1,1,0,1,3,129515.23,501,1,-1,0,3,4,2,True
820582308,Existing Customer,42,M,5,Uneducated,Married,80 - 120,Blue,37,6,2,22913.0,1528,1394,35,0.067,346.8980070243104,24926.847441753944,163562.68238455718,1,1,2,1,3,873147.2,81,2,288,0,3,6,2,True
789973308,Existing Customer,44,M,1,College,Single,60 - 80,Blue,35,3,3,24312.0,1932,1341,24,0.079,728.9518754676294,21874.661222520444,115814.7758544592,1,0,0,1,3,93301.04,207,2,-1,0,2,7,2,True
712876233,Existing Customer,53,M,2,Graduate,Single,80 - 120,Blue,36,5,3,5272.0,1515,1289,33,0.287,794.0364738940139,11903.325885777143,78714.70610992023,1,2,2,0,1,641883.2,190,1,-1,1,3,9,4,True
804595158,Existing Customer,44,F,4,Graduate,Single,Less than 40,Blue,36,6,4,7000.0,2517,1112,23,0.36,498.68928283963743,44401.243899150715,144528.96065917565,1,0,0,1,3,0.0,103,1,-1,0,3,3,1,True
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than 40,Blue,29,4,4,7038.0,1801,2339,57,0.256,609.7917475579249,37372.377333347395,190151.6757085161,1,1,0,1,2,89746.43,352,2,-1,0,4,6,2,True
779058108,Existing Customer,49,M,3,Graduate,Divorced,60 - 80,Blue,30,6,1,2536.0,1823,1468,23,0.719,388.0548850563935,19507.389827616546,118352.5500871675,1,1,0,1,3,4180.49,141,1,132,0,3,4,2,True
710790258,Existing Customer,47,M,2,Graduate,Married,80 - 120,Blue,38,6,3,28904.0,1899,1334,35,0.066,482.9210813851116,48620.80825306145,90675.95204516224,1,1,0,0,0,434783.42,316,7,161,0,3,4,2,True
715623483,Existing Customer,47,M,3,Graduate,Married,60 - 80,Blue,37,4,4,8567.0,1695,1457,41,0.198,950.5899964171748,21757.705120043174,150502.09703203366,1,0,0,1,1,321388.88,154,2,-1,0,3,8,4,True
794543958,Existing Customer,53,M,1,Graduate,Divorced,80 - 120,Blue,35,5,4,34516.0,1219,1590,27,0.035,488.48170878818314,7420.800153989065,200295.64993169295,1,0,0,1,2,780236.31,76,2,-1,1,3,9,4,True
716396358,Existing Customer,52,M,2,Graduate,Married,60 - 80,Blue,47,5,3,3085.0,1910,1531,35,0.619,401.45875849723205,2737.633154119034,121173.6938929286,1,1,2,1,0,694850.35,238,1,-1,0,3,5,2,True
715398033,Existing Customer,53,M,2,High School,Single,120 +,Blue,35,4,2,19040.0,2056,1212,31,0.108,368.83394196054934,19739.809245952387,61480.661970472866,1,0,0,1,2,129604.61,164,8,-1,0,2,5,2,True
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than 40,Blue,35,5,2,4026.0,0,1237,32,0.0,778.2076080183615,4900.384167866465,168030.6760630548,1,1,2,1,2,0.0,541,1,-1,0,3,8,4,True
719720058,Existing Customer,44,M,3,High School,Single,60 - 80,Blue,31,4,3,12756.0,837,1413,14,0.066,499.3627854261927,16991.544129794293,-17737.930585810886,1,1,1,0,3,307100.36,582,2,-1,1,2,4,2,False
717539808,Existing Customer,51,F,2,High School,Single,Less than 40,Blue,36,3,2,9930.0,0,1276,21,0.0,584.5390999729058,25769.033838581938,218586.2553184207,1,1,0,1,3,249049.08,409,2,-1,0,2,6,2,True
714070758,Existing Customer,49,M,4,High School,Single,80 - 120,Blue,38,4,3,31302.0,1953,1564,35,0.062,768.3758891384366,25254.179166920097,223136.9320524406,1,0,2,0,2,148211.83,130,6,207,0,2,10,4,True
714107958,Existing Customer,45,M,1,Graduate,Single,40 - 60,Blue,36,4,4,6576.0,0,1465,34,0.0,508.7461516032418,19903.067487116787,129438.9954464374,0,1,0,1,2,99473.72,95,4,-1,1,2,5,2,True
789140283,Existing Customer,53,M,0,Graduate,Single,80 - 120,Blue,42,5,4,2664.0,2037,1286,29,0.765,521.4076926440495,19034.98448305355,216079.21110017184,1,0,1,0,0,40487.58,1448,2,-1,0,3,8,4,True
719712633,Existing Customer,64,M,1,Graduate,Married,Less than 40,Blue,52,6,4,1709.0,895,1673,32,0.524,652.159826511429,17084.76169179185,147001.59014574613,1,1,2,1,2,46762.21,479,3,-1,1,3,6,2,True
772629333,Existing Customer,45,M,3,Graduate,Married,40 - 60,Blue,35,5,4,3454.0,1200,1313,30,0.347,634.9278317272532,20469.773352076685,19157.323311436747,1,0,1,1,2,0.0,508,3,-1,0,3,4,2,True
720336708,Existing Customer,53,M,3,Doctorate,Married,40 - 60,Blue,35,5,3,3789.0,1706,1609,42,0.45,531.7498269566463,30806.200803883807,-3909.902529268773,1,1,0,0,0,432913.55,216,4,-1,0,4,2,2,True
802013583,Existing Customer,56,M,3,College,Married,120 +,Blue,50,3,2,9689.0,2250,1158,19,0.232,586.4279775826044,51217.99690878813,44639.987741248406,1,0,2,1,0,930656.07,594,1,-1,0,2,5,2,True
779155158,Existing Customer,53,M,3,Graduate,Married,120 +,Blue,34,6,2,2940.0,1264,1259,33,0.43,422.55643765061495,34652.41406469906,211158.2504505065,1,1,2,1,0,143610.8,20,6,-1,0,3,7,2,True
721091583,Existing Customer,44,F,2,Graduate,Single,Less than 40,Blue,32,3,3,3031.0,1879,1298,15,0.62,470.95811336580647,6727.560404109099,82923.51112391088,1,2,2,1,2,0.0,69,2,-1,0,2,5,2,True
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than 40,Blue,33,2,3,8358.0,926,1566,37,0.111,685.2057156709132,39208.97662764622,130437.05160630758,1,2,0,1,0,325906.67,138,6,-1,0,1,4,2,True
779509983,Existing Customer,53,M,2,Post-Graduate,Single,120 +,Blue,36,6,1,34516.0,931,1022,21,0.027,521.844333894976,13696.106603895589,218020.4330014959,1,1,2,1,2,0.0,122,3,-1,0,3,9,4,True
717929133,Existing Customer,44,M,1,Uneducated,Married,60 - 80,Blue,36,5,2,14450.0,2440,1235,30,0.169,375.0196839851793,39130.22520039654,123010.06286521962,1,2,0,1,3,897823.47,255,1,-1,0,3,2,1,False
710916408,Existing Customer,57,M,4,Graduate,Married,60 - 80,Blue,39,4,3,8466.0,1886,1342,32,0.223,622.7963767089019,45879.5538404431,156360.33690842887,0,0,1,1,0,686523.41,123,2,-1,0,2,5,2,True
799825758,Existing Customer,42,M,4,High School,Divorced,60 - 80,Blue,36,5,1,3263.0,1674,1251,35,0.513,659.5528546528502,30397.972493198788,112135.75347622392,1,1,0,1,0,290030.0,307,6,-1,0,3,5,2,True
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than 40,Blue,36,2,2,1494.0,706,1305,24,0.473,562.5319072699679,28968.840841599325,289061.2269725683,1,2,2,0,2,247061.61,225,2,-1,0,1,5,2,True
711844758,Existing Customer,48,M,3,Graduate,Single,80 - 120,Blue,35,6,1,13551.0,1294,1388,37,0.095,266.1242891748323,33156.389994396064,215262.45603936468,1,2,0,1,0,293849.84,229,1,-1,0,3,6,2,True
714798783,Existing Customer,49,M,1,Graduate,Single,80 - 120,Blue,36,6,2,18886.0,895,1235,18,0.047,399.9920065747811,27838.902717467336,81698.81364560575,1,0,1,1,2,124553.8,281,3,-1,0,3,4,2,True
771894558,Existing Customer,50,M,3,High School,Single,80 - 120,Blue,39,4,1,9964.0,1559,1626,25,0.156,741.3936911471013,35308.54774057273,68816.92300198835,1,1,2,1,1,412510.44,269,1,-1,1,2,7,2,True
721074183,Existing Customer,49,M,1,Doctorate,Married,60 - 80,Blue,36,4,6,24159.0,1196,1111,24,0.05,439.67706959810374,33945.29863820023,-24121.65818815565,1,1,1,1,1,671659.07,165,3,-1,0,2,2,1,True
715259583,Existing Customer,53,F,2,High School,Married,Less than 40,Blue,44,3,2,5362.0,1901,1553,38,0.355,593.4617765387585,19876.30622223765,208705.25782717988,1,2,2,1,3,81469.56,62,1,-1,0,2,7,2,True
718414008,Existing Customer,50,M,2,Graduate,Single,120 +,Blue,36,3,2,34516.0,1023,1064,13,0.03,788.4267462562833,22729.850265723897,150404.3467648015,1,0,0,0,3,703669.58,102,2,-1,0,2,10,4,False
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than 40,Blue,36,4,1,3174.0,1951,1243,29,0.615,458.9888981140508,25482.022447023115,190772.8896702609,1,1,0,1,1,68226.02,111,4,-1,0,2,5,2,True
714877233,Existing Customer,53,M,1,High School,Married,80 - 120,Blue,47,3,2,12262.0,1836,1659,38,0.15,443.92544241300175,18103.76776596104,22116.97560831303,1,0,0,1,0,183859.59,176,1,-1,0,2,4,2,True
785387883,Existing Customer,47,F,3,High School,Single,40 - 60,Blue,41,4,3,3788.0,1540,1594,47,0.407,733.657615432425,33679.60109756986,243094.62766920665,1,2,2,0,1,104737.9,161,1,-1,0,3,7,2,True
771075258,Existing Customer,55,M,2,College,Single,120 +,Silver,42,2,3,34516.0,1527,1268,42,0.044,173.9187561357848,15729.692448714712,-17045.34287148829,1,0,0,1,1,478791.38,166,3,-1,0,2,5,2,True
711318033,Existing Customer,47,M,3,Graduate,Single,60 - 80,Blue,36,4,2,2926.0,0,1304,24,0.0,475.801195569783,23427.164959641537,148581.88918036106,1,1,1,0,2,229164.15,137,4,-1,0,2,6,2,True
783554958,Existing Customer,58,M,4,Graduate,Single,120 +,Blue,52,6,1,32090.0,0,1368,30,0.0,341.5217045603524,51958.27863018762,55756.355963366135,1,0,0,1,1,152088.13,161,19,-1,0,3,3,1,True
720201033,Attrited Customer,53,M,2,Graduate,Married,80 - 120,Blue,41,3,3,11669.0,2227,720,23,0.191,435.7403185696451,37592.655536412305,185895.17112551176,1,1,0,1,0,121570.07,371,3,-1,0,2,4,2,True
718039683,Existing Customer,52,M,2,High School,Single,40 - 60,Blue,45,3,1,13532.0,1300,1521,29,0.096,579.918107225188,47856.935178414715,126562.70444172806,0,0,2,1,0,895023.41,179,1,-1,0,2,3,1,True
714752208,Existing Customer,42,F,1,Graduate,Married,Less than 40,Blue,36,5,1,2393.0,1985,978,16,0.83,565.2393156649083,14644.99950055448,30363.66240706148,1,1,0,1,0,9940.49,370,1,-1,0,3,3,1,True
714490308,Existing Customer,57,M,4,Graduate,Married,80 - 120,Blue,46,3,2,19270.0,1662,1565,28,0.086,892.0889047039536,11864.380049017907,203283.0686482261,1,2,1,1,3,67940.17,68,5,-1,0,2,11,4,False
713356833,Existing Customer,52,M,1,Graduate,Married,80 - 120,Blue,43,3,1,3710.0,2517,1578,34,0.678,204.47797747113495,2522.352428323229,-57552.922586842586,1,0,0,0,0,97631.69,113,1,-1,0,2,5,2,True
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than 40,Blue,37,2,1,3235.0,797,1493,32,0.246,306.9111422722945,28047.875675156803,107200.96576938672,1,1,2,0,1,0.0,255,1,-1,1,1,2,1,True
708296883,Existing Customer,44,F,3,Graduate,Single,40 - 60,Blue,38,3,1,11749.0,788,1178,27,0.067,535.7528899927655,30351.803321880252,161959.606873842,1,2,2,1,1,257514.51,312,1,-1,0,2,4,2,True
719154483,Existing Customer,53,M,2,High School,Divorced,60 - 80,Blue,36,5,3,7753.0,2100,991,26,0.271,320.60720562929794,7396.164451699053,148304.76238218375,1,1,0,1,2,161760.39,153,6,-1,0,3,6,2,True
717721458,Existing Customer,45,M,4,College,Divorced,60 - 80,Blue,40,5,1,10408.0,1186,2560,42,0.114,646.9705385642164,7013.3608550011195,129682.38478145387,1,0,0,1,2,647127.19,76,7,2,0,5,8,4,True
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than 40,Blue,27,4,2,6205.0,2517,1204,19,0.406,971.9846717334918,30533.358716514445,120939.02673965516,1,1,2,1,2,0.0,181,1,167,1,2,5,2,True
789322833,Attrited Customer,48,F,5,High School,Married,Less than 40,Blue,38,1,3,8025.0,0,673,18,0.0,626.970150804504,24213.465184812907,156286.01531130754,1,1,2,1,1,0.0,90,3,-1,0,1,6,2,True
709919283,Existing Customer,54,M,4,Graduate,Married,80 - 120,Blue,34,2,3,14926.0,2517,1576,25,0.169,654.8893022814494,9434.516382897302,120764.6050171462,1,0,2,0,3,552594.91,312,7,-1,0,1,8,4,True
718744008,Existing Customer,59,F,1,Graduate,Single,Less than 40,Blue,36,3,2,6335.0,1128,1217,20,0.178,765.0841758406598,8981.044589279554,135746.75881944844,1,1,2,0,2,132960.44,172,4,-1,0,2,8,4,True
767712558,Attrited Customer,59,M,1,College,Single,60 - 80,Blue,53,2,3,14979.0,0,530,10,0.0,570.3990046468022,29223.520882236524,99087.78512401372,1,1,2,1,3,993911.12,25,2,-1,0,1,4,2,True
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than 40,Blue,38,3,2,2732.0,0,739,16,0.0,793.4584965790135,55735.51994873551,123391.37958399618,1,0,1,1,2,126465.66,479,8,-1,0,2,4,2,True
716104983,Existing Customer,41,F,2,Graduate,Single,Less than 40,Blue,32,6,3,2250.0,2117,1617,31,0.941,548.4741952366343,36527.36483825462,69047.12906897813,1,1,0,0,3,78059.77,82,7,-1,0,3,3,1,False
818839983,Existing Customer,55,M,2,Graduate,Married,120 +,Blue,50,3,2,10916.0,1536,1592,34,0.141,364.1015357055091,27764.74654451587,120640.98590946062,1,0,0,0,0,29335.8,58,4,-1,0,2,5,2,True
712350858,Existing Customer,41,M,2,High School,Married,80 - 120,Blue,24,4,1,9366.0,1104,1303,39,0.118,392.50174933473977,32579.264480018428,134991.69742023828,1,2,2,1,1,547125.13,104,2,-1,0,2,5,2,True
711009708,Existing Customer,40,M,3,High School,Single,80 - 120,Blue,28,5,1,21617.0,0,1351,22,0.0,317.2414637663654,29204.928499465103,305651.8067540282,1,0,0,0,2,794914.8,341,4,-1,1,3,6,2,True
712215258,Existing Customer,50,F,1,Graduate,Single,40 - 60,Silver,31,2,2,18386.0,0,1298,22,0.0,703.5102632103536,34106.95497091445,96064.9853181185,1,2,0,0,3,293689.01,128,1,-1,0,1,4,2,False
773827008,Existing Customer,47,M,4,Uneducated,Single,60 - 80,Blue,41,6,2,2405.0,1540,1087,29,0.64,622.1795422353583,11481.680051809431,154364.5803791255,1,0,0,1,3,791090.31,7,1,-1,0,3,8,4,True
795232683,Existing Customer,53,F,1,College,Married,Less than 40,Blue,47,4,2,2154.0,930,1439,26,0.432,397.64428485882934,28768.013170783008,91048.3144350386,1,0,0,1,2,93691.39,62,2,-1,0,2,2,1,True
713539833,Existing Customer,48,F,4,High School,Single,40 - 60,Blue,38,6,1,8135.0,0,1716,29,0.0,526.9315342090252,15719.880960606282,53502.845137708384,1,1,0,0,2,375417.84,150,2,189,1,3,3,1,True
712454058,Existing Customer,49,M,1,Doctorate,Married,120 +,Blue,38,6,1,9364.0,618,1099,27,0.066,476.2169518491191,30406.86032718893,23686.69040766248,0,0,0,0,0,1384040.59,86,6,-1,0,3,5,2,True
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than 40,Blue,34,2,3,3195.0,1954,1285,29,0.612,701.4488888504876,10733.285171721527,94110.05009155883,1,1,0,1,0,193931.81,420,1,-1,0,1,6,2,True
720253908,Existing Customer,56,M,0,High School,Married,80 - 120,Blue,43,5,2,2852.0,1024,1651,28,0.359,522.2602494774917,39186.33854270249,-6941.289398108842,1,1,0,0,2,2283.46,233,1,-1,0,3,3,1,True
713187033,Existing Customer,46,M,1,Uneducated,Married,60 - 80,Blue,36,3,2,20459.0,2071,1767,38,0.101,640.0945138913503,32849.67784588155,231970.87296652384,1,0,2,0,0,109020.83,171,13,356,0,2,7,2,True
772426383,Existing Customer,50,F,4,Uneducated,Married,40 - 60,Blue,40,5,2,3065.0,1570,1130,28,0.512,859.5281620522865,25698.41621863159,144995.01532914332,1,1,0,1,3,606689.08,968,6,-1,0,3,6,2,True
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than 40,Blue,43,3,1,2185.0,1761,1645,30,0.806,480.6489672100632,25270.381305866515,11451.010568805868,1,1,0,1,0,33983.21,248,1,-1,0,2,3,1,True
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than 40,Blue,36,4,1,1611.0,746,1413,29,0.463,748.8072534974773,31791.105596033507,26015.71863746499,1,0,2,1,0,0.0,57,3,-1,0,2,4,2,True
