CLIENTNUM,Income_Category,No_of_product,Total_Trans_Amt,Total_Trans_Count,Credit Score,Outstanding Loans,Balance,PhoneService,InternetService,TechSupport,PaperlessBilling,PaymentMethod,Churned,Time
346864740,1,5,1524,27,624,41529,107480,1,1,2,1,1,0,2024-01-08
988322589,2,5,3038,36,747,18092,819,0,2,1,0,1,0,2024-01-08
68371461,3,5,2843,38,739,24851,240997,1,0,0,1,2,0,2024-01-08
669450221,3,5,2783,85,324,44829,241768,1,1,1,0,0,0,2024-01-08
174536721,3,1,2952,85,725,25177,99400,1,0,1,1,1,0,2024-01-08
394911571,0,3,1853,66,575,2440,37461,0,0,1,1,2,0,2024-01-08
608399564,1,3,2347,81,729,3405,254863,0,1,1,1,0,0,2024-01-08
594749871,4,3,2246,85,540,15179,269859,0,1,0,0,1,0,2024-01-08
489096492,1,5,1771,61,745,22723,102212,0,2,1,1,1,0,2024-01-08
767370326,3,3,2973,19,740,12808,94497,0,1,0,1,1,0,2024-01-08
408789954,4,1,2555,34,463,5356,35554,0,2,2,1,2,0,2024-01-08
816482938,3,3,1784,59,623,13749,288311,1,2,0,0,1,0,2024-01-08
132552662,3,1,2847,86,339,27945,105230,0,2,1,0,3,0,2024-01-08
782707879,4,5,3583,48,451,11059,266377,0,2,0,0,2,0,2024-01-08
714138408,2,3,2595,68,738,6405,139807,0,0,0,1,1,0,2024-01-08
716529258,0,5,1127,45,388,44463,251627,1,1,2,0,3,0,2024-01-08
714828708,0,3,2425,79,418,33424,114142,0,1,0,1,3,0,2024-01-08
713644758,1,5,3109,68,849,47254,140160,0,1,2,0,0,1,2024-01-08
482861483,4,3,915,88,641,5337,66733,1,1,2,1,2,0,2024-01-08
318637124,2,3,2624,45,421,35268,80791,0,0,0,0,1,0,2024-01-08
556498101,3,1,3520,18,498,14243,247631,0,2,2,0,2,1,2024-01-08
793340420,3,3,1107,32,505,46361,104020,1,2,1,1,2,1,2024-01-08
787536933,0,1,3440,76,315,4806,112439,1,2,0,0,2,0,2024-01-08
119562479,0,5,1181,50,569,10232,264057,1,2,2,0,1,0,2024-01-08
796402110,1,3,2776,38,613,20086,121971,0,2,0,0,2,0,2024-01-08
547050631,0,5,1542,72,805,5248,39869,1,2,0,1,0,0,2024-01-08
601799826,2,3,1315,38,608,328,75677,0,2,1,0,2,0,2024-01-08
88064700,2,3,982,74,315,47182,261472,0,2,0,0,3,0,2024-01-08
22959559,0,1,1855,30,583,20352,162457,0,1,1,0,2,0,2024-01-08
596230407,4,1,2114,68,622,48354,93821,0,0,0,1,0,0,2024-01-08
242453906,0,1,2939,39,517,45126,144902,0,0,2,0,3,0,2024-01-08
803765800,2,5,2823,30,345,10876,112249,0,0,1,0,0,0,2024-01-08
455627140,4,3,1781,41,765,34217,175643,1,0,1,0,0,0,2024-01-08
283342950,4,5,3562,34,630,24992,234366,1,2,1,0,2,1,2024-01-08
895776271,2,3,2293,54,557,27123,9918,1,1,2,0,2,0,2024-01-08
515855755,1,3,1020,45,760,25719,16920,0,1,0,1,3,0,2024-01-08
255518785,4,1,1111,68,680,44434,252701,1,2,0,1,1,0,2024-01-08
459684960,2,1,1096,54,683,26249,192393,1,1,2,1,2,0,2024-01-08
844390004,3,5,3075,66,339,17488,49804,1,2,1,0,2,0,2024-01-08
225785528,0,3,1165,30,434,27501,102363,0,1,0,1,3,0,2024-01-08
715915503,4,5,1393,76,834,9552,107120,1,0,2,0,1,0,2024-01-08
236466559,2,5,2278,47,741,1003,205432,0,2,2,0,1,0,2024-01-08
302193795,2,3,2968,36,622,47292,42710,0,2,2,1,2,0,2024-01-08
697990159,4,3,3035,76,658,43953,186007,1,0,1,0,2,0,2024-01-08
451776896,1,1,1578,43,703,44434,186839,1,2,2,1,1,0,2024-01-08
637427628,3,3,1972,47,381,39057,88489,0,2,0,0,0,0,2024-01-08
295207331,4,3,3209,66,512,33468,266413,1,2,0,0,2,0,2024-01-08
943005408,1,3,2438,90,314,41031,170327,0,1,0,1,0,0,2024-01-08
744949220,3,1,1540,72,357,16979,157546,1,2,0,1,1,0,2024-01-08
871672824,1,3,3540,18,585,49553,288376,1,0,0,0,1,0,2024-01-08
773742480,2,3,1370,63,728,14248,253412,0,2,0,1,0,0,2024-01-08
269716995,2,5,2805,41,516,28333,64663,1,1,1,0,2,0,2024-01-08
666328558,3,1,1080,61,305,24613,183482,1,1,0,1,3,0,2024-01-08
152718742,0,1,3158,63,443,23274,44284,0,2,1,0,2,0,2024-01-08
610732274,3,5,2791,27,810,35123,207859,0,0,0,1,0,0,2024-01-08
89891218,3,3,2041,65,378,4806,76324,1,1,0,1,1,0,2024-01-08
301297409,4,3,1766,68,716,9877,169633,1,1,2,1,1,0,2024-01-08
197349143,0,3,1102,88,303,31770,238432,0,2,2,0,3,1,2024-01-08
320966634,2,5,3095,19,693,26916,186416,0,1,1,0,3,0,2024-01-08
778968408,2,5,1200,47,649,42608,149666,0,0,0,0,1,0,2024-01-08
425316462,0,3,3042,57,404,46531,214524,0,0,2,0,3,0,2024-01-08
37068079,2,1,3064,19,304,9006,253569,0,0,2,0,3,0,2024-01-08
806397959,0,1,937,47,395,30068,63368,0,2,0,0,3,0,2024-01-08
32930119,0,3,2597,25,640,7345,72086,0,1,0,0,1,0,2024-01-08
589358286,4,1,1889,25,423,47773,79257,1,2,0,0,2,0,2024-01-08
779791008,3,5,1205,74,680,37013,272969,1,0,2,1,0,0,2024-01-08
964873663,1,1,3004,56,526,46117,188574,0,0,2,1,0,0,2024-01-08
1586226,2,5,3105,34,645,38722,9568,1,0,1,1,2,0,2024-01-08
567148141,4,3,2606,86,590,25175,45193,0,1,0,1,1,0,2024-01-08
310805247,0,3,3140,50,771,10954,135423,0,0,2,1,3,0,2024-01-08
215445042,0,1,2468,36,601,14724,4045,1,0,0,0,2,1,2024-01-08
812628754,0,5,3261,23,532,29018,243202,0,2,1,1,3,0,2024-01-08
603524284,4,1,990,63,366,22411,268238,0,1,2,1,0,0,2024-01-08
62476688,0,5,2827,90,702,26209,199597,1,1,0,1,3,0,2024-01-08
486628029,0,1,1627,21,354,3309,238716,1,0,2,0,0,0,2024-01-08
340852752,0,5,2857,88,689,7071,165399,0,0,2,1,1,0,2024-01-08
446672874,0,1,2139,76,305,31889,268498,1,0,0,1,0,0,2024-01-08
571370272,2,3,2523,48,560,49243,5694,1,0,1,1,1,0,2024-01-08
806165208,1,1,988,90,334,18165,95086,1,0,0,0,0,0,2024-01-08
309964583,0,3,2557,47,585,26231,168528,0,1,1,1,0,0,2024-01-08
44209404,1,5,1368,72,660,38292,263930,0,2,0,0,0,0,2024-01-08
325263659,1,1,3589,57,683,3103,72923,1,1,1,0,3,0,2024-01-08
926650232,1,3,3321,74,745,28040,128143,0,2,2,0,1,0,2024-01-08
318373113,4,5,3314,52,369,41828,269820,1,1,0,0,0,0,2024-01-08
847723384,0,5,2646,43,302,10268,159270,0,2,0,0,0,0,2024-01-08
934780969,1,5,2456,86,653,17235,183067,1,0,0,1,2,0,2024-01-08
466795888,2,1,1931,32,711,8226,292556,0,1,0,1,2,0,2024-01-08
793534924,2,1,1525,63,663,25008,20172,0,1,0,1,1,0,2024-01-08
711757383,0,1,2347,85,335,14656,97465,1,2,1,0,3,0,2024-01-08
636398834,1,3,1000,85,516,18061,22280,1,1,0,1,0,0,2024-01-08
693126526,3,1,1697,66,703,10684,42645,0,1,1,1,1,0,2024-01-08
398298083,4,5,3156,19,696,7622,82994,1,1,2,1,2,0,2024-01-08
945663892,0,5,1332,43,344,378,196637,1,1,2,1,0,1,2024-01-08
336724072,0,3,1924,65,460,34169,177082,0,1,2,1,2,0,2024-01-08
650183676,0,3,1033,90,779,23659,123057,0,0,1,0,3,0,2024-01-08
889204805,3,3,1013,61,449,13812,211188,0,2,0,0,1,0,2024-01-08
133396483,4,3,2716,83,443,27380,249243,0,0,2,1,3,0,2024-01-08
405613928,3,3,2990,63,578,36251,1121,0,1,2,0,0,0,2024-01-08
786765297,0,1,1717,72,455,29131,181031,0,2,2,1,2,0,2024-01-08
700896696,4,1,1409,56,716,24570,59255,0,2,1,0,2,0,2024-01-08
758308306,2,1,2649,54,584,34336,279120,0,2,1,0,0,0,2024-01-08
108792072,4,3,3458,76,524,18371,111987,0,1,2,1,0,0,2024-01-08
985761671,1,3,2389,41,473,32993,162941,0,1,0,0,2,0,2024-01-08
253352095,3,3,3189,28,456,46450,258547,1,1,0,0,3,0,2024-01-08
719848008,1,1,1552,63,768,4568,170651,0,1,1,0,1,0,2024-01-08
72228671,3,1,2494,52,665,26941,274851,1,0,1,0,2,0,2024-01-08
395045635,2,1,2159,19,648,29057,193994,0,1,0,1,1,0,2024-01-08
224695750,2,3,2524,25,625,21143,22165,0,1,1,0,3,0,2024-01-08
150585004,2,1,3372,19,772,24630,82239,0,0,2,0,1,0,2024-01-08
886170632,0,1,1963,27,662,9504,34950,0,1,0,1,0,0,2024-01-08
623570183,0,3,2886,72,844,33222,252633,0,1,0,1,0,0,2024-01-08
147849358,0,3,2602,34,424,48335,71684,1,1,0,0,2,0,2024-01-08
746055163,3,1,1538,43,666,17393,108932,0,2,2,0,1,0,2024-01-08
146044965,4,1,3558,23,559,4772,98385,1,0,2,0,2,1,2024-01-08
961065146,4,5,1873,32,712,40887,16873,0,0,2,1,1,1,2024-01-08
485813797,3,3,2986,65,575,27211,155485,0,2,1,0,3,0,2024-01-08
492641650,2,3,3478,90,556,39542,37711,1,2,2,1,2,0,2024-01-08
396822251,0,1,2289,68,351,21353,252973,1,0,2,0,0,0,2024-01-08
792552694,3,3,1978,39,797,39750,18309,1,1,2,0,0,0,2024-01-08
900840884,3,1,2137,38,739,43852,145858,0,1,2,0,1,0,2024-01-08
708170508,1,5,3467,63,560,39873,260068,0,1,1,0,1,0,2024-01-08
712412958,4,1,2886,74,829,18117,20234,1,2,2,0,1,0,2024-01-08
788890533,2,5,2953,38,654,20326,86552,0,2,0,0,2,0,2024-01-08
78723792,2,3,2573,36,395,6792,60961,0,0,1,1,1,0,2024-01-08
730322959,4,1,1189,74,676,46545,189997,0,0,2,0,0,0,2024-01-08
711046383,0,1,3341,74,488,36481,14240,1,1,1,0,1,0,2024-01-08
922193361,0,1,1525,36,496,48730,99452,0,2,2,1,1,0,2024-01-08
90798266,1,5,1531,30,354,7787,184376,0,1,2,1,2,0,2024-01-08
921049205,0,1,2912,23,811,46704,59023,1,0,0,0,1,0,2024-01-08
458454783,2,3,1766,36,768,32862,170116,0,0,1,0,2,0,2024-01-08
620968605,2,5,2903,50,322,24026,57280,1,1,1,1,1,1,2024-01-08
590790730,1,3,1715,77,813,39106,237257,0,2,1,0,2,0,2024-01-08
435767803,0,1,2731,43,472,2021,202611,1,0,0,1,0,0,2024-01-08
835181683,0,3,2219,85,419,13363,33310,0,2,2,1,0,0,2024-01-08
654604864,1,3,1893,21,779,20628,8765,1,1,1,0,1,0,2024-01-08
522809974,4,3,2275,39,505,31056,112686,0,0,2,1,1,0,2024-01-08
395638261,2,3,1525,52,693,8735,96864,1,0,0,1,3,0,2024-01-08
102581122,0,5,2224,57,375,19484,199307,0,2,1,0,3,0,2024-01-08
553298798,3,5,3391,77,444,25241,94705,1,0,1,0,1,0,2024-01-08
476942815,1,1,2486,81,456,12595,285659,0,2,1,0,0,0,2024-01-08
771666783,2,1,1305,54,483,13073,259222,1,0,0,0,2,0,2024-01-08
151483320,2,5,2892,38,655,32473,22010,1,2,2,0,1,0,2024-01-08
420221854,2,1,2705,79,692,29492,172078,1,0,0,0,0,0,2024-01-08
705654452,4,1,1143,19,800,28058,21820,0,0,0,0,1,0,2024-01-08
215434190,0,3,1618,19,564,18617,95559,1,0,1,1,2,0,2024-01-08
720484908,1,3,2948,70,423,18954,185149,0,0,0,0,2,0,2024-01-08
160928254,3,3,3435,38,780,44143,149093,1,2,1,1,3,0,2024-01-08
223431480,0,5,2771,54,337,33786,36697,0,2,0,1,3,0,2024-01-08
923881401,4,5,2695,27,367,41761,154644,1,0,1,1,3,0,2024-01-08
771040758,1,5,1764,56,820,45039,270636,0,0,2,1,1,0,2024-01-08
151888262,1,3,2915,36,840,42513,290086,0,2,0,1,0,0,2024-01-08
362510951,1,1,2624,34,718,19378,30134,0,2,2,1,0,0,2024-01-08
270000336,3,5,1813,83,768,2077,12414,1,1,2,1,0,0,2024-01-08
39578727,3,1,1672,30,709,17333,246627,0,2,2,1,2,0,2024-01-08
31194280,3,5,3087,21,416,30130,180966,1,1,0,0,1,0,2024-01-08
39312733,4,1,1487,77,301,7060,107258,1,1,2,0,2,0,2024-01-08
347479118,2,3,3129,65,652,48042,251894,0,0,1,1,2,1,2024-01-08
656358164,1,5,1247,38,484,32554,266223,0,1,1,0,2,0,2024-01-08
208421070,3,5,1095,45,557,39508,114811,0,0,1,0,0,1,2024-01-08
68353156,2,5,1878,30,437,19908,48338,0,0,0,1,2,0,2024-01-08
942671820,1,5,1822,63,528,11147,95997,0,0,0,1,2,0,2024-01-08
821345114,4,5,2305,41,370,11454,126211,1,2,0,1,3,0,2024-01-08
569982133,3,3,1799,23,487,27346,110215,1,1,2,1,2,0,2024-01-08
67947166,4,1,2638,88,445,19918,232248,1,2,0,0,1,0,2024-01-08
34464504,2,3,2036,41,340,4340,136240,0,2,0,1,3,0,2024-01-08
272840016,4,3,2222,39,669,34798,107686,1,0,0,0,3,0,2024-01-08
911530569,3,1,2662,43,581,2988,99119,0,1,1,1,3,0,2024-01-08
757546401,2,3,1764,34,782,725,231272,0,2,2,0,2,0,2024-01-08
917107942,3,1,984,21,472,1948,25957,1,2,1,1,2,0,2024-01-08
82311954,4,3,2130,28,366,25560,69241,0,0,2,0,2,0,2024-01-08
817781771,1,1,2704,90,538,45086,285875,0,2,2,1,0,0,2024-01-08
232213852,2,3,2725,68,305,19362,189290,0,0,0,0,2,0,2024-01-08
291691712,1,5,1976,59,593,44628,53675,0,2,2,0,2,0,2024-01-08
800358899,2,3,3153,50,758,32485,149511,1,0,1,0,0,0,2024-01-08
350154677,2,5,2629,23,781,25375,188278,0,0,0,0,1,0,2024-01-08
435518864,0,3,3084,30,455,32513,188866,0,0,0,0,1,0,2024-01-08
903533050,4,3,3339,41,655,22523,260881,1,0,2,1,0,0,2024-01-08
393081558,2,5,1542,21,735,28719,283077,1,1,1,0,1,0,2024-01-08
639508126,3,3,3337,39,779,16364,270471,0,0,2,0,0,0,2024-01-08
103812633,3,1,3297,61,734,34360,239307,1,2,1,0,2,0,2024-01-08
720154533,3,1,1933,28,438,27590,230637,1,2,0,1,1,0,2024-01-08
668220373,3,3,1020,43,741,17126,62167,0,1,2,1,3,0,2024-01-08
716768808,3,5,2555,61,488,6361,142667,0,1,0,1,0,0,2024-01-08
311685104,2,3,2381,39,390,44258,74128,0,1,0,0,2,0,2024-01-08
441545567,3,5,2736,90,672,4893,105387,1,2,2,1,0,1,2024-01-08
78646993,0,1,1590,76,815,1488,125858,0,2,2,0,2,0,2024-01-08
791811247,4,5,3585,56,725,45327,99961,0,0,1,0,0,0,2024-01-08
322084568,4,1,2995,85,733,36031,131889,1,1,0,1,1,0,2024-01-08
559689025,4,3,2074,47,472,44227,19692,1,0,1,1,0,0,2024-01-08
434751077,4,3,1514,88,653,26869,290412,1,2,2,1,3,0,2024-01-08
124901028,1,1,1589,18,407,32180,108303,1,0,0,0,2,0,2024-01-08
594362447,3,5,1598,79,541,5100,275972,1,1,0,1,2,0,2024-01-08
973584027,3,1,1462,21,740,18958,205089,0,0,2,1,3,0,2024-01-08
276976693,3,3,1040,39,788,49050,194528,0,1,2,0,0,0,2024-01-08
67714490,0,5,1171,86,595,18173,38764,1,2,0,0,1,0,2024-01-08
464852626,1,1,2238,70,497,1051,271162,1,1,2,0,1,0,2024-01-08
907754157,2,5,1368,85,663,43942,98999,0,0,2,1,2,0,2024-01-08
83953266,4,5,3487,66,486,23692,37172,1,0,1,1,0,1,2024-01-08
619133497,2,5,2505,88,567,36977,239525,1,1,0,0,1,1,2024-01-08
134802699,3,3,2760,43,735,26753,3421,0,0,0,1,0,0,2024-01-08
190075455,2,1,1075,25,458,11873,264086,0,1,2,1,2,0,2024-01-08
185670207,4,1,2847,59,581,7018,135651,0,0,2,0,2,0,2024-01-08
986630017,3,5,3587,45,453,35580,142058,0,0,0,1,3,0,2024-01-08
260207680,2,1,1634,66,793,37126,26104,1,0,0,1,2,0,2024-01-08
462663231,4,3,2975,45,528,6411,77299,1,1,1,1,1,0,2024-01-08
587802136,1,1,1940,65,380,45026,30381,0,1,0,1,2,0,2024-01-08
995893343,4,5,3560,90,384,32498,43511,0,0,2,1,2,0,2024-01-08
267902439,0,1,977,50,397,33453,80513,1,2,0,0,3,0,2024-01-08
771881283,4,3,1162,88,443,25278,266371,0,1,2,1,2,0,2024-01-08
451747573,4,1,1455,56,637,29814,59936,1,1,1,1,3,1,2024-01-08
179624265,0,1,2839,30,524,75,244297,1,2,2,0,1,0,2024-01-08
785237958,0,5,2892,54,679,30390,60133,0,2,1,1,0,0,2024-01-08
750855508,2,3,1565,28,428,45531,228873,0,2,0,1,3,1,2024-01-08
249017278,0,1,1837,76,573,11683,64747,1,1,1,0,1,0,2024-01-08
756640624,3,3,3167,54,586,20720,58805,0,0,2,1,1,0,2024-01-08
400659548,3,1,1031,52,420,44794,237663,0,2,0,0,3,0,2024-01-08
19100768,0,3,3087,32,396,33429,278455,0,1,1,1,3,0,2024-01-08
233729399,0,3,3576,56,843,20678,272808,0,2,1,1,2,0,2024-01-08
926328886,1,5,1341,90,467,28794,213357,1,1,2,0,2,0,2024-01-08
462152517,2,1,1594,41,468,18860,88663,0,0,2,1,3,0,2024-01-08
994588718,2,3,3451,36,848,29310,115294,1,2,1,0,2,0,2024-01-08
383181184,3,3,2534,50,828,31437,27861,0,0,1,1,2,0,2024-01-08
42147542,1,3,2988,32,339,22510,226444,1,0,1,0,2,0,2024-01-08
86994765,0,5,2150,19,524,11891,139052,0,0,1,0,1,0,2024-01-08
714414010,4,1,2153,68,566,13261,78098,0,0,2,0,3,0,2024-01-08
