CLIENTNUM,Savings,Duration_of_Contact,Num_of_Contacts_Made,Last_Contacted,Outcome
718619883,145764.56,126,21,772,1
711844758,0.0,1707,2,207,1
714798783,186990.23,773,24,268,1
771894558,415405.13,1441,11,651,0
721074183,413534.13,363,26,343,1
715259583,168448.45,284,28,404,1
718414008,644849.19,1207,16,470,1
719666283,132469.27,585,1,270,1
714877233,172374.96,45,29,313,0
785387883,0.0,462,55,321,1
771075258,1138447.96,1366,55,343,1
711318033,468021.48,1196,4,541,1
783554958,62521.66,1419,5,178,1
720201033,414912.42,644,6,439,0
718039683,211985.02,984,7,225,0
714752208,351546.34,527,55,503,1
714490308,318988.83,938,46,275,1
713356833,341428.71,212,25,33,1
711402333,0.0,1833,30,68,1
708296883,0.0,315,20,203,1
719154483,765224.64,1067,9,359,1
717721458,354425.09,716,21,292,0
715674483,59655.22,1207,1,774,1
789322833,7402.1,610,19,143,1
709919283,0.0,781,12,350,1
718744008,101216.2,1649,5,129,0
767712558,259764.69,814,24,88,0
712950783,44825.14,623,24,217,0
716104983,0.0,654,29,189,0
818839983,596983.92,761,19,117,1
712350858,0.0,1490,2,92,0
711009708,622618.58,399,9,76,1
712215258,133286.02,88,17,58,0
773827008,437276.03,639,20,578,0
795232683,400798.95,1321,15,64,0
713539833,493662.55,1339,35,87,0
712454058,488204.38,2062,13,603,0
718803333,0.0,1068,38,587,1
720253908,0.0,185,7,386,1
713187033,369052.14,643,32,269,0
772426383,328359.38,403,5,193,0
710975883,95333.46,993,31,227,0
714264408,143019.1,13,55,524,1
715827858,101101.22,1412,6,272,1
713741358,0.0,1499,37,871,1
709531908,346968.02,313,13,378,1
714141108,137614.85,301,1,478,0
712608783,0.0,241,28,157,0
820353558,26600.47,257,26,76,0
714964758,558141.26,1386,3,116,0
716264358,456457.2,592,38,319,0
717296808,75424.41,950,37,163,1
712977183,345564.12,1571,63,126,0
710829108,529170.0,1567,55,55,0
779562633,371753.5,2241,43,774,0
715315833,278909.5,874,41,265,1
815500983,0.0,1218,32,194,1
719360583,796493.79,506,30,592,0
709701558,590995.0,285,3,362,1
779862408,33187.07,1532,34,24,0
812627208,195967.03,109,17,167,1
711033408,79094.83,983,51,352,1
780376683,105541.98,976,14,6,1
714454758,16909.72,628,6,775,1
780466533,284911.26,419,33,113,0
715735233,32015.07,1336,11,690,0
720476733,127430.33,876,8,125,1
712375758,150623.86,564,39,779,1
708868233,191309.52,175,26,81,1
718030083,485321.17,1079,7,321,0
771698658,462445.81,1352,44,242,0
748326258,311425.73,1855,44,480,0
770817783,356539.15,13,30,760,1
779353083,17839.3,1837,21,94,1
711441333,141563.43,465,9,43,0
719808558,119709.44,466,36,558,1
711551958,631459.13,339,38,138,0
809164083,8195.13,1504,38,273,0
820596183,301906.97,210,23,284,1
715999608,94393.3,1393,10,458,1
805543158,76808.37,2129,11,37,1
709752183,555607.1,958,63,221,0
716479233,0.0,1669,30,93,1
713837058,192046.88,864,22,323,0
718876683,220961.04,1473,17,290,0
794843883,267342.88,542,12,674,0
803043933,27393.28,1179,18,51,0
714606558,0.0,710,3,486,0
778425408,869513.51,2429,25,282,1
714171108,141699.21,454,28,467,0
719662458,121133.72,733,4,244,0
713137233,268653.68,1023,23,141,0
769425858,433467.52,224,30,29,0
711297483,61869.99,447,44,458,0
788900883,111105.08,743,37,434,0
758348808,818453.26,222,28,191,0
772336458,0.0,566,51,51,0
717906783,1243062.66,916,10,284,1
719437908,723126.37,142,37,791,0
769433508,698688.31,776,23,206,1
790096533,534899.49,4918,26,419,1
720997383,830329.75,2429,35,182,1
709930758,707699.29,1114,30,327,1
710741208,679926.37,288,30,171,1
821797008,391080.74,753,27,550,0
708874533,118214.13,712,31,384,0
715341858,724565.39,118,7,77,1
793636308,514505.37,1131,30,396,1
712125258,703507.45,476,8,437,0
709703433,671960.11,469,41,385,1
721022433,959312.03,545,46,12,1
710103558,980061.01,3076,33,231,0
715952883,263324.54,1185,3,251,0
772390908,123253.08,157,12,362,1
787348608,36361.17,3076,38,369,1
709485033,57840.38,263,13,425,0
799471833,1222405.13,306,16,333,0
714187533,336628.26,475,38,195,0
779656908,222161.34,713,3,196,1
778867533,130532.63,762,35,470,1
789483333,672628.3,429,20,808,1
809855808,152865.69,265,14,403,0
771809733,679825.46,1409,29,313,0
719942883,120047.95,2653,39,674,0
717806133,371379.99,1076,37,180,1
720615708,506273.56,4918,17,391,1
714511758,0.0,1154,50,411,0
715050408,652645.71,567,15,66,0
721132233,207252.0,121,44,493,1
719211558,148876.7,43,46,491,1
712069008,117022.65,733,6,54,1
715996983,362759.04,1389,9,30,0
773466258,273781.69,201,29,776,0
798983508,0.0,822,22,163,1
716451183,352258.35,1059,14,432,0
715085733,299212.47,1080,3,248,0
788977833,77284.03,708,12,254,0
720272958,702830.59,2231,38,424,1
708421833,0.0,15,28,341,0
715120608,0.0,495,1,211,0
779078733,239627.11,1128,32,108,1
720250158,0.0,459,5,306,0
716458983,416713.05,315,29,3,1
713747733,0.0,1176,37,455,0
712270158,597089.31,371,6,233,1
754897008,495761.73,3025,25,387,1
819700533,848269.4,1283,31,105,1
712890408,283812.94,470,4,52,0
720248208,0.0,380,18,544,0
779749908,104394.19,562,37,204,1
717401883,487315.8,1210,46,231,0
721509558,783707.45,847,51,223,0
714576183,493443.01,1435,12,66,1
721425558,935729.17,346,17,495,0
711109908,218820.26,695,23,73,0
715203108,59257.05,347,24,168,0
710027508,748105.19,761,34,217,1
787464408,162032.9,416,29,157,1
783542133,0.0,252,46,122,0
708330858,0.0,489,2,633,1
712701333,396369.25,154,28,551,1
773373108,0.0,857,46,282,1
715812258,298592.06,183,9,542,1
778286433,414179.32,816,50,387,1
789270033,278560.09,1331,13,144,1
711569433,68244.89,1730,44,248,1
720214833,236392.72,772,12,683,0
788194458,478461.15,400,43,415,0
720779733,604788.07,967,33,426,1
717424458,290124.88,1314,55,175,0
770590758,433676.66,1240,58,515,0
718490658,161220.87,1279,4,104,1
711985833,126858.39,830,63,363,1
708967608,168925.9,739,14,71,1
718505958,573057.62,1434,44,578,1
715024233,956876.05,3785,19,687,0
779249583,284915.59,58,51,42,1
778928283,193326.16,1464,39,444,1
712299858,202308.24,204,37,436,0
799224108,98686.2,332,25,74,0
809976033,878415.97,942,14,854,0
716203308,632790.91,39,15,433,0
714871683,57385.76,447,55,352,0
716139933,551406.57,521,31,531,1
716984658,294514.33,1529,27,145,1
713086008,111200.29,519,26,458,1
713773458,260540.2,741,19,171,0
719242533,104553.95,384,8,826,1
772712658,259261.44,109,38,193,1
788868858,71539.82,303,50,182,0
811898133,66700.23,1431,13,749,1
788808633,248939.64,1975,55,202,1
779804208,648798.94,1291,6,103,0
781391058,101244.35,1495,38,138,1
790134408,256392.71,674,25,586,0
788853258,568002.44,387,25,450,1
711857733,349535.4,1273,26,10,1
719554758,407852.98,1005,27,58,0
711643458,92015.49,1504,7,555,1
788830683,361216.13,578,51,137,0
807030858,246125.79,680,15,339,0
793059108,125773.72,859,44,15,1
716568708,173924.54,1231,2,774,1
717229158,810531.77,781,58,413,1
715915458,168994.85,556,38,61,0
819129858,0.0,1182,5,655,0
713441958,1370757.78,677,29,359,0
719091333,30538.27,349,6,158,1
714914583,0.0,205,21,235,0
714363858,166036.56,126,9,595,0
721347408,71027.93,506,11,164,1
772047183,0.0,1237,58,315,1
714217908,0.0,149,51,776,0
714819183,0.0,328,44,6,0
716455683,0.0,245,24,295,0
710865633,205170.39,734,16,292,0
752952108,604843.04,556,24,36,1
714982383,0.0,668,43,871,0
813814008,117178.89,1666,27,158,0
794545983,3532.25,652,17,169,0
715585158,59894.18,684,17,405,1
789863208,57894.65,507,39,353,0
715022133,824488.53,201,23,362,0
712506708,204076.68,1056,12,495,1
715699983,0.0,917,34,290,0
712459233,0.0,2231,58,152,1
716545383,413573.74,2078,23,273,0
721144383,372196.59,438,18,526,0
804359133,292111.83,18,34,72,1
713308683,806628.61,368,17,348,0
717354558,1504115.49,1387,37,131,0
798473808,420411.06,502,13,126,1
715192308,241333.77,123,6,445,0
708813033,0.0,609,63,364,1
714639783,623825.55,1276,24,326,1
709470858,474200.51,303,20,159,0
717292758,192392.84,87,63,298,0
779241783,514665.69,983,35,168,1
715205358,910166.9,247,16,228,1
778871508,383953.79,410,63,370,0
710147958,335399.08,396,26,97,0
709864833,243212.36,536,12,77,1
778868958,76131.76,795,3,536,0
710004933,497495.48,297,4,294,1
710940183,0.0,2330,19,217,0
718927533,0.0,80,50,303,1
719337408,0.0,2129,5,269,1
772308408,473046.49,1677,41,202,1
712981383,120481.22,1276,46,370,1
790099758,278651.96,984,5,521,0
709547658,537809.39,22,21,364,0
778770783,0.0,466,43,107,0
713134458,282117.23,1490,24,53,0
713639958,358517.07,459,46,383,0
711089733,113527.27,223,24,204,0
716988633,0.0,320,31,14,0
779031033,289727.1,1092,2,133,1
716302383,435417.68,798,55,256,1
721333233,419937.07,1107,46,449,0
814995933,115233.63,1190,20,382,1
721469433,0.0,425,33,244,0
717198633,0.0,1164,25,421,0
767695083,41009.3,1339,51,274,1
711791583,20600.01,239,15,479,1
712315683,198450.1,1158,5,457,0
710038008,362426.14,1297,17,778,0
718349058,0.0,621,18,345,1
789842283,0.0,1820,41,384,1
714900408,135971.14,555,16,120,0
719418933,0.0,31,17,562,1
720115683,575120.13,146,6,340,1
779504058,39715.77,1662,34,298,0
795979833,357802.12,1556,6,587,0
717392358,541594.02,663,4,163,1
718640508,429548.0,1161,36,321,1
709230708,11056.5,549,44,168,1
801383808,223712.99,1106,21,322,1
708217758,747589.72,1038,29,422,1
714272658,0.0,1165,20,455,1
711864783,333217.93,254,8,128,1
719407983,226587.97,214,35,76,1
716804283,74564.21,67,23,370,0
767294658,1018429.79,4,35,125,1
709122483,488105.51,1153,41,140,1
708241233,101115.7,891,20,74,1
717860358,175301.1,112,24,31,1
789337233,232860.0,1027,15,431,0
720902133,83592.54,895,29,701,1
711870333,0.0,886,5,103,0
708398283,476599.35,1175,18,313,1
715878183,583156.16,626,24,65,1
719451483,31366.5,580,16,160,1
709110633,0.0,1397,36,353,0
721059033,669794.51,922,37,392,0
779912283,83257.76,1112,46,96,0
717701733,43983.63,837,7,779,0
709913733,104159.04,1677,8,59,0
718768158,417237.82,443,30,257,1
721375308,459700.4,1416,21,4,0
711374283,309156.08,81,23,334,1
778465533,4691.23,156,22,351,1
712138983,357173.89,305,19,262,0
716920908,0.0,735,37,325,1
711195558,677610.45,510,31,229,1
712024908,212674.89,223,36,403,0
714893733,141424.05,146,9,361,0
754886958,44812.15,1276,26,330,0
710104908,48343.48,731,19,71,1
710558883,393671.32,360,21,680,1
713827383,10578.01,260,2,172,0
720267033,694644.2,1307,4,424,1
712049208,409509.33,755,6,690,0
708688608,207126.44,612,14,377,1
713217858,0.0,443,29,355,0
711019308,281361.15,950,55,202,0
768600558,480894.26,703,17,197,1
710202783,58461.86,237,8,362,1
712899333,0.0,438,36,149,0
767036433,126139.96,542,27,394,1
793473033,256212.87,1290,55,280,1
717998058,94522.43,35,4,749,0
779610033,354671.27,221,19,361,1
827332983,608393.88,218,26,237,0
721183983,245943.27,95,43,104,1
718426533,865864.94,1602,12,25,0
710698233,860944.69,71,22,133,0
793581933,236052.4,554,7,381,1
719229708,742029.15,1960,30,616,0
715158483,71942.8,209,11,412,1
809296308,888665.18,1127,35,238,0
778176108,650888.9,3,31,143,0
719366358,592022.69,1076,41,594,0
721417233,273216.67,80,7,361,1
714578283,359770.28,277,21,62,1
769574883,628451.36,143,55,126,0
717643608,102763.59,965,43,528,1
709198158,113733.84,121,14,390,0
712419708,77219.79,245,16,395,0
709103358,194494.82,718,46,778,1
716966808,48726.15,2301,51,22,1
772264383,652969.18,275,43,320,0
769137108,61006.78,1080,58,436,0
717640083,299299.82,1346,19,158,0
778686408,252514.39,520,2,541,0
715015683,0.0,739,63,66,1
710462433,513384.38,109,31,353,1
721342383,711114.58,718,5,371,0
794977533,645744.3,344,23,339,0
779445108,171152.76,1541,4,211,1
718193958,185908.95,831,13,419,0
710955633,224275.62,837,34,-1,1
716149383,585449.74,932,55,358,0
752604633,388182.12,44,22,805,0
713889933,508624.68,1778,38,199,1
709446783,364024.94,445,12,206,0
789115833,0.0,635,30,33,0
787623858,102062.12,1528,38,481,1
709040508,1187980.98,961,28,240,1
717956283,564548.7,33,26,551,1
721379433,435814.21,590,6,541,0
712027683,145055.12,1012,16,428,0
716027208,264013.08,116,8,427,0
720475233,0.0,870,38,530,0
712275108,95209.12,1124,51,360,0
718121658,424652.16,1666,20,390,1
711593808,168710.62,648,18,655,1
716222808,91068.66,823,23,285,0
788779008,426926.09,638,58,13,0
710404533,0.0,777,55,655,0
715383108,0.0,722,36,262,1
711697158,161037.64,300,41,535,0
709186983,140146.69,107,46,300,1
808964433,198949.82,1210,63,22,1
711948333,21961.83,1606,32,130,0
710541858,140885.02,287,6,481,1
713865333,8566.94,741,35,686,1
797707008,39130.9,108,23,140,0
713490483,906871.77,630,29,63,0
720370533,816280.92,935,29,13,0
816596583,375177.74,987,12,13,1
717517758,521343.73,678,43,428,1
712880283,664197.28,1134,38,184,1
753226158,261800.77,1372,11,180,1
720605808,410619.24,684,26,655,0
711028308,194078.93,957,32,465,0
814852533,41294.8,198,19,257,1
711526533,226970.88,257,23,297,1
804403908,424273.22,440,14,26,1
716999883,246769.35,1906,3,355,1
787599258,148508.93,876,50,278,0
714495258,0.0,1031,1,493,1
717713283,67595.87,707,39,343,1
789317883,989508.43,1286,4,39,0
789467508,456037.53,629,50,254,0
711231558,617785.3,490,30,65,1
716829483,121864.49,222,37,329,1
779713608,529618.45,1244,63,37,0
711628458,93718.51,1628,31,195,1
770724558,0.0,680,63,270,1
783561558,784884.87,1663,35,578,0
719309958,0.0,560,14,355,1
787550808,39118.78,113,33,5,1
779863533,287957.87,416,44,445,1
714529233,169742.68,1162,18,358,1
708177333,139245.67,111,18,421,0
812019933,333810.85,950,13,776,1
708557358,354212.76,1095,17,227,0
713580633,0.0,596,28,110,1
711466533,252243.22,430,35,297,0
802276683,893800.3,420,5,396,0
808897683,0.0,1166,2,186,1
713010483,178277.85,390,25,114,0
717006333,541887.97,1120,30,159,0
716924058,376861.31,247,15,292,1
720916683,774701.97,685,19,248,0
720923658,212979.03,648,20,141,1
712710708,213019.23,133,32,359,1
718939083,0.0,796,26,130,1
719085933,266913.1,2462,63,187,0
715124958,706226.57,242,21,445,1
712979133,677251.55,352,15,371,1
712006308,261319.84,172,13,309,1
710801133,739375.6,52,17,250,1
712490283,553789.88,400,18,263,1
717958833,359578.13,1346,27,149,0
812420358,0.0,173,21,120,1
715940358,0.0,909,34,328,1
715041333,383356.42,501,1,367,0
712797258,106284.87,876,19,140,0
769170558,436195.11,2621,29,27,1
715884858,313252.32,290,51,242,1
796343058,253297.77,120,14,196,1
718888308,0.0,808,7,197,1
785114808,303336.54,1361,37,8,0
709852908,0.0,88,63,256,0
719679858,0.0,1584,33,395,0
827108583,617851.39,23,2,626,0
719781183,817219.09,1467,41,44,1
710429358,425999.87,1616,2,248,0
798792408,433938.92,212,14,350,1
710280558,229641.09,380,55,557,1
809825358,129471.18,799,6,260,1
714451833,52377.42,1558,18,79,0
713943783,178811.55,506,58,176,0
710706558,165748.46,1091,6,674,0
713620308,159075.77,768,20,259,1
813453408,0.0,1006,23,38,0
818248383,170207.05,1707,31,457,0
780106908,0.0,335,6,193,0
708938508,614528.97,679,18,235,1
709671708,316389.49,762,32,218,0
711204483,109166.17,609,21,553,0
801728658,77702.27,82,39,214,1
713945883,3541.7,1107,2,159,1
788370258,734790.35,619,13,97,0
710383158,258306.67,981,44,594,0
711768858,675005.71,636,27,228,1
714888633,0.0,2129,44,50,0
712650333,548393.29,543,4,452,1
719945433,0.0,669,8,394,1
718344033,708142.77,1397,35,145,1
715442958,67152.14,1296,23,586,1
780326883,0.0,952,29,105,0
711157833,209033.42,291,16,73,0
719704308,370080.08,18,33,391,1
708772308,96329.73,692,21,162,0
817663908,232318.73,149,26,47,0
709990983,637584.84,2078,34,242,1
818045958,416213.16,189,6,233,1
716380683,86847.97,983,15,427,1
778461408,398354.4,631,31,81,0
713861733,717011.84,878,10,687,0
789291633,180329.71,1329,33,372,0
718325883,0.0,82,10,774,0
720344658,717782.05,1321,51,265,1
809292483,0.0,568,37,95,1
779791008,167972.12,639,3,340,0
779557533,8020.14,94,15,389,0
779320983,494949.19,141,5,298,0
718093233,299123.74,657,46,347,1
719459358,965512.98,1962,29,491,1
717728808,0.0,743,38,701,1
788701608,198747.08,1602,28,5,0
778506633,235061.53,1175,17,515,0
716918508,315120.15,351,3,775,0
717321783,289369.7,728,36,536,0
799000008,1213640.53,656,7,197,1
719068683,466424.21,882,36,332,0
709120008,645009.85,151,13,343,1
709117533,193877.86,435,32,530,0
816594183,686484.08,410,18,717,0
789485433,742579.58,1119,22,271,0
712881483,0.0,1536,43,33,0
771492408,0.0,794,11,161,1
711668283,684557.01,369,6,70,1
712960308,0.0,354,58,97,1
713530833,420293.62,6,24,157,0
716144058,173483.44,708,1,160,0
778699908,792451.95,557,1,356,1
778623858,571286.36,957,51,379,1
714665733,572250.33,939,38,353,0
816089433,296491.2,1880,12,91,0
716991933,0.0,1137,35,543,1
714534108,83738.24,832,58,173,0
787456608,318409.13,728,25,838,0
717090183,156312.26,1792,12,227,1
772782708,882423.16,194,5,112,1
710722908,529397.04,315,50,32,0
715271733,328131.78,1056,24,296,0
771706308,264037.24,1529,19,115,0
780198258,120025.89,1252,55,336,1
716290233,492945.52,398,51,237,1
828298908,369489.3,725,63,58,1
720697908,0.0,1820,37,92,0
780598383,471081.22,57,63,236,1
715345833,0.0,521,13,79,1
712373208,0.0,580,41,36,0
721433283,0.0,828,18,12,0
720680058,100332.42,868,58,295,1
716909283,222153.06,688,36,270,0
754654383,250095.39,1416,11,792,1
779759058,783531.31,261,10,39,1
715783758,1021160.97,680,1,18,0
771190083,0.0,1584,63,9,0
779330208,111878.64,701,30,363,0
807964908,0.0,179,51,134,1
711748983,892440.39,1514,24,359,1
718064283,0.0,260,44,294,0
710492733,360214.68,728,31,350,0
779016408,190886.71,1656,19,382,0
717787533,86132.9,821,5,717,1
714851058,154293.64,1425,31,283,1
708455883,0.0,558,23,518,0
709207458,339070.81,1346,24,283,0
763895958,406308.72,1246,11,236,0
715942683,42446.4,1283,35,66,1
721301733,0.0,1962,2,94,1
711927108,490965.53,1531,63,52,0
717548358,119004.73,509,39,287,1
713936583,921067.99,1835,58,485,0
709682658,230333.08,756,3,541,0
793889508,480269.42,1073,19,587,1
717420333,796329.59,1147,7,592,1
768921933,428868.32,1034,51,414,0
716343408,0.0,170,13,88,1
718909158,2489.54,1201,1,854,0
719471433,230525.83,384,11,532,1
711147483,0.0,797,38,379,0
719788833,630875.89,1032,25,6,0
715168983,0.0,836,26,13,0
714306258,401907.22,1262,19,854,0
710574558,348461.76,934,46,258,1
710947683,35274.81,1490,25,87,1
718923858,872675.1,903,17,157,1
752666508,1054928.24,500,24,367,0
712672083,124680.17,794,7,430,0
719863758,516787.54,538,34,850,0
720990183,623365.23,81,63,288,0
720718908,1032315.77,46,12,761,1
708249708,348181.71,36,38,227,1
779506158,264478.99,1076,6,387,0
716608608,369328.01,1489,35,201,0
824805858,88190.94,1745,32,203,1
720840108,0.0,1397,20,414,0
813469458,0.0,1083,3,262,0
718870158,335746.6,302,44,139,1
788673708,211348.34,543,46,175,0
816513108,60088.5,323,15,338,0
823606983,423212.23,2027,36,779,0
717028158,951491.12,391,27,240,1
714472608,100309.6,4,39,779,0
794340033,948519.8,259,21,778,1
716462658,594327.58,192,46,98,0
718050033,241883.57,2201,1,21,1
716341833,0.0,874,63,88,0
719648358,389866.7,903,16,347,0
816600933,494432.11,1207,33,14,0
714208533,737706.97,966,8,370,0
713095533,37820.22,783,43,84,1
809967783,531398.28,293,38,182,0
720426708,894614.03,169,29,365,1
713743158,486994.49,992,6,38,0
721279083,0.0,185,25,42,0
714970458,693608.48,555,14,532,1
719070108,0.0,1366,12,227,0
714989583,0.0,388,3,416,0
715901508,276012.82,190,28,258,0
710370483,0.0,1735,32,347,1
778573233,0.0,745,3,344,1
708833133,124578.82,179,51,428,0
719885883,277519.01,1777,58,93,1
708134283,49942.68,240,17,290,0
708983658,88042.49,533,3,175,0
766285608,100635.28,1074,33,357,0
798035358,0.0,762,13,413,0
719391783,0.0,48,55,309,1
780713058,534091.69,1346,20,147,0
779338683,738023.14,683,33,183,1
783387783,547506.58,567,55,530,0
787800108,842167.51,604,6,94,1
721397808,517765.42,257,30,80,1
778698408,338550.69,342,43,353,1
716032233,0.0,757,12,188,0
717835908,459187.65,1018,36,455,1
778663458,0.0,872,28,288,1
716024808,417636.51,1387,51,58,1
794831733,193473.33,295,18,469,0
713854608,280466.84,458,30,14,0
715993608,544000.76,1087,55,42,0
789368658,482914.6,1326,17,99,0
708098133,287809.45,2769,18,365,0
801499908,16931.69,1137,19,551,1
721129383,0.0,738,9,392,1
721249158,648232.09,38,16,75,0
721049658,392875.79,439,37,33,1
714886533,108744.55,235,8,198,1
772375533,695685.96,1971,11,199,0
826775058,0.0,1190,22,592,1
711878733,102517.56,234,14,56,1
714550383,465690.11,376,2,589,1
712636308,318567.85,1142,24,475,0
772139433,292570.12,1321,9,151,1
709058808,187277.73,1076,29,536,0
710111733,414309.55,662,43,17,1
761544333,714573.73,676,12,387,1
788814783,350691.84,360,7,756,1
715034358,159402.75,329,44,449,1
709624533,217783.95,2078,27,358,0
709942383,41451.63,790,27,412,0
713378133,113602.0,1272,15,38,0
709217358,3714.94,1381,7,245,0
720998358,551894.46,205,37,315,0
721051908,506674.3,151,43,255,0
715232058,565592.44,199,23,396,1
806250783,153415.91,835,23,337,1
826477083,82928.0,721,11,239,1
788728608,27669.01,102,3,329,0
717190533,812592.23,41,51,140,0
716580033,981535.07,913,44,50,0
711644508,301439.44,1297,9,514,1
714334383,0.0,1225,33,305,0
720611058,1460216.37,3366,26,80,1
713845083,108017.62,986,9,558,0
713756508,121675.05,1348,12,230,1
735565158,0.0,445,12,208,1
717180633,578811.0,696,39,250,0
717295683,677588.57,993,32,193,1
710070183,148338.87,406,34,205,1
789605658,0.0,451,38,256,0
710045058,654111.71,520,38,439,1
710164683,634579.31,938,6,459,1
710802258,235277.68,325,11,129,0
721036233,302406.71,222,23,469,0
710036508,559027.41,82,44,111,1
717776808,196164.49,422,27,273,1
714906033,0.0,1237,51,136,1
714273708,62424.59,250,34,82,1
721117533,209924.32,1532,24,594,1
715374558,167454.75,1123,39,472,1
824807658,257798.04,1126,2,626,0
714940608,500887.44,980,55,491,0
717561108,0.0,411,17,515,0
717127083,1090847.05,277,15,254,1
772460508,326838.81,1217,20,6,1
720484908,792924.57,446,11,465,1
794664183,35900.62,988,15,242,1
797488158,308147.32,1441,9,45,1
708543258,667424.02,474,15,10,0
778706508,430243.43,2485,29,397,1
713650683,0.0,1346,24,134,1
772532208,60053.63,11,58,257,1
778929783,776841.7,39,14,18,0
712821333,469250.64,453,20,90,1
721120008,898097.97,690,11,412,0
709633533,79644.4,1201,10,159,1
710789058,1079740.76,544,8,317,1
716174433,224220.1,287,22,175,1
789886533,140742.85,1388,11,291,1
721038408,278310.04,322,21,521,1
713325108,0.0,617,3,7,1
708431433,935532.3,144,12,117,1
716996583,970088.57,521,1,38,0
718699683,627968.81,556,21,440,1
716604633,0.0,943,25,314,1
713053383,110695.95,301,63,139,1
709979583,568763.33,1127,34,403,1
709380333,1013725.39,366,29,278,1
778574283,270492.03,540,16,427,0
789875883,56822.63,926,38,124,1
714661233,568345.2,1713,43,198,1
813915933,461113.65,824,3,349,1
708358683,921539.83,1225,37,255,1
824761458,1058527.72,1531,5,64,1
803595858,211949.6,910,25,132,0
716198358,637063.83,1012,1,444,1
714173808,135852.06,508,20,165,0
709465758,87011.55,1710,19,205,1
717364458,209308.76,1419,63,189,0
710754933,236047.02,1035,3,98,0
718362783,206484.06,574,19,76,1
708267858,619584.57,277,41,456,0
708856983,0.0,1314,44,401,1
715588908,0.0,11,23,159,1
772674933,0.0,346,21,264,0
720148983,252956.29,906,9,321,0
769732233,616576.44,1416,37,411,0
713030958,7921.38,194,63,485,0
711320508,433329.36,359,16,398,0
795795408,368675.28,11,9,133,0
717904383,1044032.26,671,11,595,0
714115533,117546.19,1024,23,223,0
712475733,139427.52,136,25,153,1
718996758,0.0,1343,6,363,1
718301508,352329.1,311,26,186,1
714831033,259889.15,904,26,495,0
721265883,70404.34,727,50,289,1
773448558,891765.8,1346,5,112,0
712003083,300966.15,1164,41,180,0
754282908,402787.52,788,6,541,0
717412608,347996.98,357,5,368,0
719412258,370875.08,1079,11,779,1
717683583,453660.62,39,41,113,0
820584408,303774.69,286,23,156,0
719392833,111076.76,1110,15,273,1
718595583,561688.64,390,29,244,1
778508883,707223.46,653,63,356,1
711999783,708144.05,587,63,112,0
712120608,0.0,948,9,136,0
720848733,202925.23,1426,5,114,1
826723308,1265151.1,902,27,170,1
801369258,713690.09,207,21,511,0
709584483,175752.97,469,34,351,1
