,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Age_Group,AdSpend,ConversionRate,Campaign_Channel,Campaign_Type,Total_Indiv,Avg_Open_To_Buy_Avg,Conversion_Value,Total_Customer_Growth,ROI
23,771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,5.7151e-05,0.99994,40-50,2078.339064000395,0.15638754957197498,Referral,Retention,5123.16,6205.967793556592,970.5360959569118,6093.696095956911,1.9320028678226073
24,720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,5.0256e-05,0.99995,50-60,6774.671574646422,0.011294186044166682,Referral,Retention,18505.8,6205.967793556592,70.09135484453476,18575.891354844534,1.7419619017935983
25,804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.00018558,0.99981,60+,2562.9198931595797,0.11816568794500422,PPC,Retention,15464.4,6205.967793556592,733.3324536901547,16197.732453690154,5.320030718448056
26,718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0.00012144,0.99988,40-50,8139.716166551754,0.09041056631879238,SEO,Consideration,10302.0,6205.967793556592,561.0850627716379,10863.085062771637,0.3345778698538563
27,806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,7.6642e-06,0.99999,40-50,5063.111869844661,0.06104046888579468,Referral,Conversion,4312.98,6205.967793556592,378.81518400883505,4691.795184008834,-0.07333764202354441
28,778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0.00021834,0.99978,50-60,2901.1584000333646,0.04310089544149717,PPC,Conversion,932.5799999999999,6205.967793556592,267.4827689833816,1200.0627689833816,-0.586350483665566
29,712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0.00012458,0.99988,50-60,3509.291783458315,0.1914519104793348,Referral,Consideration,1095.84,6205.967793556592,1188.1443904496316,2283.9843904496315,-0.3491608759306914
30,709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,5.7762e-05,0.99994,40-50,6265.373093599565,0.14285877336647004,Social Media,Consideration,6918.48,6205.967793556592,886.5769465393133,7805.056946539313,0.24574495882976577
31,788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.00018612,0.99981,50-60,4379.823221231826,0.199995,PPC,Retention,1322.3999999999999,6205.967793556592,1241.1625288723508,2563.5625288723504,-0.4146881279488381
32,787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,9.7673e-05,0.9999,50-60,7588.465551257903,0.03277280446674395,Social Media,Awareness,15962.73,6205.967793556592,203.3869690251406,16166.11696902514,1.1303538719162218
33,715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,6.2639e-05,0.99994,50-60,100.054813,0.07731477827309373,SEO,Awareness,1734.48,6205.967793556592,479.81302392878865,2214.293023928789,21.130799684057067
34,713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0.00019864,0.9998,50-60,100.054813,0.016584117703787163,Social Media,Awareness,795.9599999999999,6205.967793556592,102.92050035425484,898.8805003542548,7.983880669031432
35,715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0.00016883,0.99983,50-60,6002.529490132082,0.11675768147744887,SEO,Retention,4095.42,6205.967793556592,724.5944108993868,4820.014410899387,-0.1970027937683109
36,708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0.9978,0.00219708,60+,6772.977767045123,0.058736742514424956,Referral,Awareness,12225.359999999999,6205.967793556592,364.51833234294753,12589.878332342947,0.8588394595949764
37,827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0.00011811,0.99988,40-50,947.2853035930866,0.17294204456040474,Email,Conversion,39173.04,6205.967793556592,1073.2727586937008,40246.312758693704,41.4859465316711
38,758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,2.2331e-05,0.99998,50-60,3152.0467267204667,0.010018,Referral,Consideration,5281.32,6205.967793556592,62.17138535584995,5343.49138535585,0.6952449784637116
39,778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,6.9242e-05,0.99993,40-50,5796.698245376169,0.12311186696420577,Referral,Consideration,4335.66,6205.967793556592,764.0282813844848,5099.688281384485,-0.12024258198150399
40,720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.00031726,0.99968,30-40,3103.120964974469,0.07753258549752279,Social Media,Retention,6531.0,6205.967793556592,481.16472854879936,7012.1647285488,1.2597136262802737
41,712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0.00020643,0.99979,40-50,6571.488447069203,0.08547193080967039,SEO,Conversion,31064.399999999998,6205.967793556592,530.4360498579118,31594.83604985791,3.807866026752096
42,789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,6.0759e-05,0.99994,50-60,1226.8053075771732,0.09196143452545642,Referral,Conversion,1151.55,6205.967793556592,570.7097009142458,1722.2597009142457,0.40385739308183227
43,738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0.0001546,0.99985,50-60,5706.4005924238845,0.07546182840491841,PPC,Conversion,823.68,6205.967793556592,468.3136767238177,1291.9936767238178,-0.7735886824280903
44,799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0.00030516,0.99969,40-50,6534.285635558448,0.14113096966312896,Social Media,Retention,21627.6,6205.967793556592,875.8542524027908,22503.45425240279,2.443904277759591
45,771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,3.031e-05,0.99997,50-60,100.054813,0.04349740607445799,Referral,Conversion,4221.599999999999,6205.967793556592,269.9435012013392,4491.543501201339,43.89082900191257
46,720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0.00020516,0.99979,50-60,1514.3877120591424,0.03334272098922465,PPC,Consideration,1319.79,6205.967793556592,206.9238526086716,1526.7138526086715,0.008139355893722227
47,779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972,50-60,7323.757709019812,0.033575423213901584,Email,Awareness,756.36,6205.967793556592,208.3679951205056,964.7279951205056,-0.8682741792601408
48,711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.00018134,0.99982,60+,6378.08971159488,0.1761842742686323,SEO,Conversion,1607.04,6205.967793556592,1093.3939318422736,2700.4339318422735,-0.5766077220687111
49,712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,4.6151e-05,0.99995,40-50,6234.010058287796,0.016820417271805138,Email,Conversion,18625.68,6205.967793556592,104.38696786300574,18730.066967863007,2.0044973929681658
50,714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.99671,0.00329379,50-60,5538.432274686476,0.15483052597023936,Referral,Conversion,17030.52,6205.967793556592,960.8732576307331,17991.393257630734,2.2484631688755647
51,717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0.00022797,0.99977,40-50,7295.87978023714,0.010018,SEO,Consideration,1185.84,6205.967793556592,62.17138535584995,1248.0113853558498,-0.8289429893381158
52,716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,4.3568e-05,0.99996,40-50,4233.516633552777,0.13173902849608754,Social Media,Conversion,474.12,6205.967793556592,817.5681680011535,1291.6881680011534,-0.6948900217460193
53,768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0.00019683,0.9998,50-60,3937.5479977274963,0.08937610380016225,Referral,Conversion,3867.0,6205.967793556592,554.6652216973779,4421.665221697378,0.12294890735282048
54,711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,5.6861e-05,0.99994,40-50,3200.355900082785,0.12309367778561592,Referral,Awareness,5559.75,6205.967793556592,763.9153999279649,6323.665399927965,0.9759256774424333
55,714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.00035539,0.99964,40-50,1310.0103160032713,0.09890050925267628,SEO,Retention,1614.6599999999999,6205.967793556592,613.7733751884548,2228.4333751884546,0.7010807838423845
56,787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0.00021834,0.99978,50-60,5954.548326686905,0.10310919571146474,Email,Consideration,2002.1999999999998,6205.967793556592,639.8923478048737,2642.0923478048735,-0.5562900487407872
57,711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.00027604,0.99972,30-40,6335.20156097609,0.056922604552452384,SEO,Consideration,4628.25,6205.967793556592,353.2598505778774,4981.509850577877,-0.21367776500384061
58,710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0.00026824,0.99973,40-50,6869.716057595541,0.11271546821294377,PPC,Retention,20980.8,6205.967793556592,699.5085655651809,21680.30856556518,2.1559249878449083
59,708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0.00011065,0.99989,50-60,4905.222445952636,0.11863080542786997,SEO,Awareness,17292.0,6205.967793556592,736.2189578090396,18028.21895780904,2.675311192601339
60,807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.00029411,0.99971,50-60,8900.089156864702,0.12966504554703023,PPC,Consideration,7436.5199999999995,6205.967793556592,804.6970966149182,8241.217096614917,-0.07402982696432793
61,788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0.00031104,0.99969,40-50,4006.191226691056,0.07955381616204439,PPC,Awareness,369.59999999999997,6205.967793556592,493.7084209561694,863.3084209561694,-0.7845064371354971
62,711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0.00011382,0.99989,40-50,100.054813,0.08244352197222102,Email,Awareness,556.8,6205.967793556592,511.6418421469789,1068.4418421469788,9.678565179537928
63,717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0.00016471,0.99984,40-50,7204.418668840044,0.11203323606811712,Email,Awareness,27325.8,6205.967793556592,695.2746548466577,28021.074654846656,2.889428966148385
64,715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.00020077,0.9998,50-60,2727.360496102519,0.13284435271090436,Referral,Awareness,41268.78,6205.967793556592,824.4277744797448,42093.20777447974,14.433679498779943
65,720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0.00030251,0.9997,50-60,9734.036543607668,0.06746619408342641,SEO,Conversion,1489.32,6205.967793556592,418.6930276355826,1908.0130276355826,-0.8039854258726229
66,719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.00017969,0.99982,50-60,7151.662968153472,0.1526056988318663,Email,Awareness,1135.2,6205.967793556592,947.0660520637592,2082.266052063759,-0.7088416971918083
67,820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.00012082,0.99988,40-50,3913.645147977155,0.14999262829572294,Referral,Conversion,23737.35,6205.967793556592,930.8494204741618,24668.19942047416,5.303126238520733
68,789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0.00027607,0.99972,40-50,6857.161122590091,0.199995,Referral,Consideration,23499.0,6205.967793556592,1241.1625288723508,24740.16252887235,2.607930758308838
69,712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.00017987,0.99982,50-60,9513.482674531919,0.010018,SEO,Consideration,4057.56,6205.967793556592,62.17138535584995,4119.73138535585,-0.5669586494980874
70,804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.00022797,0.99977,40-50,7463.560018215247,0.010018,SEO,Awareness,4841.639999999999,6205.967793556592,62.17138535584995,4903.81138535585,-0.3429661752048866
71,714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0.00023192,0.99977,30-40,736.1932851054471,0.19662332196366636,SEO,Awareness,4556.19,6205.967793556592,1220.238003568622,5776.4280035686215,6.846347040154336
72,779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,5.7151e-05,0.99994,40-50,575.7388927790789,0.09780923557787523,PPC,Retention,641.6999999999999,6205.967793556592,607.0009659086833,1248.7009659086832,1.1688667928637428
73,710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0.00017987,0.99982,40-50,100.054813,0.16711992594412978,PPC,Retention,30785.699999999997,6205.967793556592,1037.1408780708323,31822.84087807083,317.05407380123563
74,715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,8.3212e-05,0.99992,40-50,4859.057264544088,0.08157368605156849,Social Media,Retention,7627.92,6205.967793556592,506.24366843773066,8134.163668437731,0.6740209521282391
75,715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0.00011743,0.99988,40-50,4840.457925272058,0.11546632209681683,SEO,Awareness,35621.64,6205.967793556592,716.5802761732772,36338.22027617328,6.507186476397456
76,711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0.99763,0.00236635,50-60,4141.056139771163,0.11705449967402667,Social Media,Conversion,2913.2999999999997,6205.967793556592,726.4364550678902,3639.73645506789,-0.12106082791019007
77,755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0.00028395,0.99972,50-60,5435.980818268636,0.1755574493835867,Social Media,Conversion,13596.96,6205.967793556592,1089.5038767934807,14686.46387679348,1.70171370499264
78,794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0.00020404,0.9998,50-60,3390.697579025905,0.12540061097734287,SEO,Consideration,34961.85,6205.967793556592,778.2321530177092,35740.082153017705,9.54062809201795
79,716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,6.6354e-05,0.99993,50-60,6353.408266050385,0.06309202215217555,SEO,Conversion,1656.75,6205.967793556592,391.54705750676055,2048.2970575067607,-0.677606574025489
80,715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,6.6728e-05,0.99993,50-60,7464.082970733949,0.15686067339849036,Social Media,Awareness,17833.2,6205.967793556592,973.4722871866305,18806.67228718663,1.5196226195402749
81,711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0.00020424,0.9998,40-50,4123.575099761908,0.15267608426657225,Social Media,Retention,4227.3,6205.967793556592,947.5028618046798,5174.80286180468,0.254931154789316
82,719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.00010943,0.99989,40-50,4110.748599213245,0.07229950224281229,Email,Conversion,11084.67,6205.967793556592,448.68838240906564,11533.358382409066,1.8056588974126102
83,778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.00033251,0.99967,50-60,7102.056272995106,0.05435606307077779,Referral,Consideration,7109.099999999999,6205.967793556592,337.3319768017778,7446.431976801778,0.048489576901288065
